REGION,FUEL,YEAR,VALUE
RE1,INDCLIM,2022,0.6736848681572929
RE1,INDCLIM,2023,0.6423057842807921
RE1,INDCLIM,2024,0.6297405433146284
RE1,INDCLIM,2025,0.6371758231997159
RE1,INDCLIM,2026,0.6508068008610917
RE1,INDCLIM,2027,0.6612114864494832
RE1,INDCLIM,2028,0.6750187694984577
RE1,INDCLIM,2029,0.6900451288768766
RE1,INDCLIM,2030,0.7005993040127444
RE1,INDCLIM,2031,0.7114487290555105
RE1,INDCLIM,2032,0.7222757995795224
RE1,INDCLIM,2033,0.7331182910034677
RE1,INDCLIM,2034,0.7557797594395567
RE1,INDCLIM,2035,0.7840736887076811
RE1,INDCLIM,2036,0.8134961104141711
RE1,INDCLIM,2037,0.8443393997804922
RE1,INDCLIM,2038,0.8764225277780985
RE1,INDCLIM,2039,0.9097998011491844
RE1,INDCLIM,2040,0.9445272210631876
RE1,INDCLIM,2041,0.9806636324296304
RE1,INDCLIM,2042,1.0189924656180929
RE1,INDCLIM,2043,1.0588847992650088
RE1,INDCLIM,2044,1.1004091304456225
RE1,INDCLIM,2045,1.1436371009466193
RE1,INDCLIM,2046,1.1886436521993808
RE1,INDCLIM,2047,1.2357319829821254
RE1,INDCLIM,2048,1.2846653794653742
RE1,INDCLIM,2049,1.3355094077718324
RE1,INDCLIM,2050,1.3883390328949534
RE1,INDCLIM,2051,1.4433205211398064
RE1,INDCLIM,2052,1.5005476807084883
RE1,INDCLIM,2053,1.5601175914446237
RE1,INDCLIM,2054,1.6217908404076262
RE1,OIL,2022,0.0
RE1,OIL,2023,0.0
RE1,OIL,2024,0.0
RE1,OIL,2025,0.0
RE1,OIL,2026,0.0
RE1,OIL,2027,0.0
RE1,OIL,2028,0.0
RE1,OIL,2029,0.0
RE1,OIL,2030,0.0
RE1,OIL,2031,0.0
RE1,OIL,2032,0.0
RE1,OIL,2033,0.0
RE1,OIL,2034,0.0
RE1,OIL,2035,0.0
RE1,OIL,2036,0.0
RE1,OIL,2037,0.0
RE1,OIL,2038,0.0
RE1,OIL,2039,0.0
RE1,OIL,2040,0.0
RE1,OIL,2041,0.0
RE1,OIL,2042,0.0
RE1,OIL,2043,0.0
RE1,OIL,2044,0.0
RE1,OIL,2045,0.0
RE1,OIL,2046,0.0
RE1,OIL,2047,0.0
RE1,OIL,2048,0.0
RE1,OIL,2049,0.0
RE1,OIL,2050,0.0
RE1,OIL,2051,0.0
RE1,OIL,2052,0.0
RE1,OIL,2053,0.0
RE1,OIL,2054,0.0
RE1,COA,2022,0.0
RE1,COA,2023,0.0
RE1,COA,2024,0.0
RE1,COA,2025,0.0
RE1,COA,2026,0.0
RE1,COA,2027,0.0
RE1,COA,2028,0.0
RE1,COA,2029,0.0
RE1,COA,2030,0.0
RE1,COA,2031,0.0
RE1,COA,2032,0.0
RE1,COA,2033,0.0
RE1,COA,2034,0.0
RE1,COA,2035,0.0
RE1,COA,2036,0.0
RE1,COA,2037,0.0
RE1,COA,2038,0.0
RE1,COA,2039,0.0
RE1,COA,2040,0.0
RE1,COA,2041,0.0
RE1,COA,2042,0.0
RE1,COA,2043,0.0
RE1,COA,2044,0.0
RE1,COA,2045,0.0
RE1,COA,2046,0.0
RE1,COA,2047,0.0
RE1,COA,2048,0.0
RE1,COA,2049,0.0
RE1,COA,2050,0.0
RE1,COA,2051,0.0
RE1,COA,2052,0.0
RE1,COA,2053,0.0
RE1,COA,2054,0.0
RE1,DSL,2022,0.0
RE1,DSL,2023,0.0
RE1,DSL,2024,0.0
RE1,DSL,2025,0.0
RE1,DSL,2026,0.0
RE1,DSL,2027,0.0
RE1,DSL,2028,0.0
RE1,DSL,2029,0.0
