REGION,EMISSION,YEAR,VALUE
RE1,EMIC02,2022,9999999.0
RE1,EMIC02,2023,9999999.0
RE1,EMIC02,2024,9999999.0
RE1,EMIC02,2025,9999999.0
RE1,EMIC02,2026,9999999.0
RE1,EMIC02,2027,9999999.0
RE1,EMIC02,2028,9999999.0
RE1,EMIC02,2029,9999999.0
RE1,EMIC02,2030,9999999.0
RE1,EMIC02,2031,9999999.0
RE1,EMIC02,2032,9999999.0
RE1,EMIC02,2033,9999999.0
RE1,EMIC02,2034,9999999.0
RE1,EMIC02,2035,9999999.0
RE1,EMIC02,2036,9999999.0
RE1,EMIC02,2037,9999999.0
RE1,EMIC02,2038,9999999.0
RE1,EMIC02,2039,9999999.0
RE1,EMIC02,2040,9999999.0
RE1,EMIC02,2041,9999999.0
RE1,EMIC02,2042,9999999.0
RE1,EMIC02,2043,9999999.0
RE1,EMIC02,2044,9999999.0
RE1,EMIC02,2045,9999999.0
RE1,EMIC02,2046,9999999.0
RE1,EMIC02,2047,9999999.0
RE1,EMIC02,2048,9999999.0
RE1,EMIC02,2049,9999999.0
RE1,EMIC02,2050,9999999.0
RE1,EMIC02,2051,9999999.0
RE1,EMIC02,2052,9999999.0
RE1,EMIC02,2053,9999999.0
RE1,EMIC02,2054,9999999.0
RE1,EMICH4,2022,9999999.0
RE1,EMICH4,2023,9999999.0
RE1,EMICH4,2024,9999999.0
RE1,EMICH4,2025,9999999.0
RE1,EMICH4,2026,9999999.0
RE1,EMICH4,2027,9999999.0
RE1,EMICH4,2028,9999999.0
RE1,EMICH4,2029,9999999.0
RE1,EMICH4,2030,9999999.0
RE1,EMICH4,2031,9999999.0
RE1,EMICH4,2032,9999999.0
RE1,EMICH4,2033,9999999.0
RE1,EMICH4,2034,9999999.0
RE1,EMICH4,2035,9999999.0
RE1,EMICH4,2036,9999999.0
RE1,EMICH4,2037,9999999.0
RE1,EMICH4,2038,9999999.0
RE1,EMICH4,2039,9999999.0
RE1,EMICH4,2040,9999999.0
RE1,EMICH4,2041,9999999.0
RE1,EMICH4,2042,9999999.0
RE1,EMICH4,2043,9999999.0
RE1,EMICH4,2044,9999999.0
RE1,EMICH4,2045,9999999.0
RE1,EMICH4,2046,9999999.0
RE1,EMICH4,2047,9999999.0
RE1,EMICH4,2048,9999999.0
RE1,EMICH4,2049,9999999.0
RE1,EMICH4,2050,9999999.0
RE1,EMICH4,2051,9999999.0
RE1,EMICH4,2052,9999999.0
RE1,EMICH4,2053,9999999.0
RE1,EMICH4,2054,9999999.0
RE1,EMIN2O,2022,9999999.0
RE1,EMIN2O,2023,9999999.0
RE1,EMIN2O,2024,9999999.0
RE1,EMIN2O,2025,9999999.0
RE1,EMIN2O,2026,9999999.0
RE1,EMIN2O,2027,9999999.0
RE1,EMIN2O,2028,9999999.0
RE1,EMIN2O,2029,9999999.0
RE1,EMIN2O,2030,9999999.0
RE1,EMIN2O,2031,9999999.0
RE1,EMIN2O,2032,9999999.0
RE1,EMIN2O,2033,9999999.0
RE1,EMIN2O,2034,9999999.0
RE1,EMIN2O,2035,9999999.0
RE1,EMIN2O,2036,9999999.0
RE1,EMIN2O,2037,9999999.0
RE1,EMIN2O,2038,9999999.0
RE1,EMIN2O,2039,9999999.0
RE1,EMIN2O,2040,9999999.0
RE1,EMIN2O,2041,9999999.0
RE1,EMIN2O,2042,9999999.0
RE1,EMIN2O,2043,9999999.0
RE1,EMIN2O,2044,9999999.0
RE1,EMIN2O,2045,9999999.0
RE1,EMIN2O,2046,9999999.0
RE1,EMIN2O,2047,9999999.0
RE1,EMIN2O,2048,9999999.0
RE1,EMIN2O,2049,9999999.0
RE1,EMIN2O,2050,9999999.0
RE1,EMIN2O,2051,9999999.0
RE1,EMIN2O,2052,9999999.0
RE1,EMIN2O,2053,9999999.0
RE1,EMIN2O,2054,9999999.0
