REGION,TECHNOLOGY,VALUE
RE1,SO_IMPBET,0.05
RE1,CA_IMPBET,0.05
RE1,NE_DEMRESBGSCKN_MID_RUR,0.05
RE1,AN_DEMRESBGSCKN_MID_RUR,0.05
RE1,SO_DEMRESBGSCKN_MID_RUR,0.05
RE1,OR_DEMRESBGSCKN_MID_RUR,0.05
RE1,CA_DEMRESBGSCKN_MID_RUR,0.05
RE1,NE_DEMINDELCREF_HIG,0.05
RE1,AN_DEMINDELCREF_HIG,0.05
RE1,SO_DEMINDELCREF_HIG,0.05
RE1,OR_DEMINDELCREF_HIG,0.05
RE1,CA_DEMINDELCREF_HIG,0.05
RE1,NE_DEMINDELCREF_LOW,0.05
RE1,AN_DEMINDELCREF_LOW,0.05
RE1,SO_DEMINDELCREF_LOW,0.05
RE1,OR_DEMINDELCREF_LOW,0.05
RE1,CA_DEMINDELCREF_LOW,0.05
RE1,NE_DEMINDELCREF_MID,0.05
RE1,AN_DEMINDELCREF_MID,0.05
RE1,SO_DEMINDELCREF_MID,0.05
RE1,OR_DEMINDELCREF_MID,0.05
RE1,CA_DEMINDELCREF_MID,0.05
RE1,NE_DEMINDELCOTH_HIG,0.05
RE1,AN_DEMINDELCOTH_HIG,0.05
RE1,SO_DEMINDELCOTH_HIG,0.05
RE1,OR_DEMINDELCOTH_HIG,0.05
RE1,CA_DEMINDELCOTH_HIG,0.05
RE1,NE_DEMINDELCOTH_LOW,0.05
RE1,AN_DEMINDELCOTH_LOW,0.05
RE1,SO_DEMINDELCOTH_LOW,0.05
RE1,OR_DEMINDELCOTH_LOW,0.05
RE1,CA_DEMINDELCOTH_LOW,0.05
RE1,NE_DEMINDELCOTH_MID,0.05
RE1,AN_DEMINDELCOTH_MID,0.05
RE1,SO_DEMINDELCOTH_MID,0.05
RE1,OR_DEMINDELCOTH_MID,0.05
RE1,CA_DEMINDELCOTH_MID,0.05
RE1,NE_DEMINDCOAOTH_LOW,0.05
RE1,AN_DEMINDCOAOTH_LOW,0.05
RE1,SO_DEMINDCOAOTH_LOW,0.05
RE1,OR_DEMINDCOAOTH_LOW,0.05
RE1,CA_DEMINDCOAOTH_LOW,0.05
RE1,NE_DEMINDELCMPW_HIG,0.05
RE1,AN_DEMINDELCMPW_HIG,0.05
RE1,SO_DEMINDELCMPW_HIG,0.05
RE1,OR_DEMINDELCMPW_HIG,0.05
RE1,CA_DEMINDELCMPW_HIG,0.05
RE1,NE_DEMINDELCMPW_LOW,0.05
RE1,AN_DEMINDELCMPW_LOW,0.05
RE1,SO_DEMINDELCMPW_LOW,0.05
RE1,OR_DEMINDELCMPW_LOW,0.05
RE1,CA_DEMINDELCMPW_LOW,0.05
RE1,NE_DEMINDELCMPW_MID,0.05
RE1,AN_DEMINDELCMPW_MID,0.05
RE1,SO_DEMINDELCMPW_MID,0.05
RE1,OR_DEMINDELCMPW_MID,0.05
RE1,CA_DEMINDELCMPW_MID,0.05
RE1,NE_DEMINDELCILU_HIG,0.05
RE1,AN_DEMINDELCILU_HIG,0.05
RE1,SO_DEMINDELCILU_HIG,0.05
RE1,OR_DEMINDELCILU_HIG,0.05
RE1,CA_DEMINDELCILU_HIG,0.05
RE1,NE_DEMINDELCILU_LOW,0.05
RE1,AN_DEMINDELCILU_LOW,0.05
RE1,SO_DEMINDELCILU_LOW,0.05
RE1,OR_DEMINDELCILU_LOW,0.05
RE1,CA_DEMINDELCILU_LOW,0.05
RE1,NE_DEMINDELCILU_MID,0.05
RE1,AN_DEMINDELCILU_MID,0.05
RE1,SO_DEMINDELCILU_MID,0.05
RE1,OR_DEMINDELCILU_MID,0.05
RE1,CA_DEMINDELCILU_MID,0.05
RE1,NE_DEMINDLPGBOI_HIG,0.05
RE1,AN_DEMINDLPGBOI_HIG,0.05
RE1,SO_DEMINDLPGBOI_HIG,0.05
RE1,OR_DEMINDLPGBOI_HIG,0.05
RE1,CA_DEMINDLPGBOI_HIG,0.05
RE1,NE_DEMINDLPGBOI_LOW,0.05
RE1,AN_DEMINDLPGBOI_LOW,0.05
RE1,SO_DEMINDLPGBOI_LOW,0.05
RE1,OR_DEMINDLPGBOI_LOW,0.05
RE1,CA_DEMINDLPGBOI_LOW,0.05
RE1,NE_DEMINDLPGBOI_MID,0.05
RE1,AN_DEMINDLPGBOI_MID,0.05
RE1,SO_DEMINDLPGBOI_MID,0.05
RE1,OR_DEMINDLPGBOI_MID,0.05
RE1,CA_DEMINDLPGBOI_MID,0.05
RE1,NE_DEMINDNGSBOI_HIG,0.05
RE1,AN_DEMINDNGSBOI_HIG,0.05
RE1,SO_DEMINDNGSBOI_HIG,0.05
RE1,OR_DEMINDNGSBOI_HIG,0.05
RE1,CA_DEMINDNGSBOI_HIG,0.05
RE1,NE_DEMINDNGSBOI_MID,0.05
RE1,AN_DEMINDNGSBOI_MID,0.05
RE1,SO_DEMINDNGSBOI_MID,0.05
RE1,OR_DEMINDNGSBOI_MID,0.05
RE1,CA_DEMINDNGSBOI_MID,0.05
RE1,NE_DEMINDNGSBOI_LOW,0.05
RE1,AN_DEMINDNGSBOI_LOW,0.05
RE1,SO_DEMINDNGSBOI_LOW,0.05
RE1,OR_DEMINDNGSBOI_LOW,0.05
RE1,CA_DEMINDNGSBOI_LOW,0.05
RE1,NE_DEMINDDSLBOI_HIG,0.05
RE1,AN_DEMINDDSLBOI_HIG,0.05
RE1,SO_DEMINDDSLBOI_HIG,0.05
RE1,OR_DEMINDDSLBOI_HIG,0.05
RE1,CA_DEMINDDSLBOI_HIG,0.05
RE1,NE_DEMINDDSLBOI_LOW,0.05
RE1,AN_DEMINDDSLBOI_LOW,0.05
RE1,SO_DEMINDDSLBOI_LOW,0.05
RE1,OR_DEMINDDSLBOI_LOW,0.05
RE1,CA_DEMINDDSLBOI_LOW,0.05
RE1,NE_DEMINDDSLBOI_MID,0.05
RE1,AN_DEMINDDSLBOI_MID,0.05
RE1,SO_DEMINDDSLBOI_MID,0.05
RE1,OR_DEMINDDSLBOI_MID,0.05
RE1,CA_DEMINDDSLBOI_MID,0.05
RE1,NE_DEMINDCOABOI_HIG,0.05
RE1,AN_DEMINDCOABOI_HIG,0.05
RE1,SO_DEMINDCOABOI_HIG,0.05
RE1,OR_DEMINDCOABOI_HIG,0.05
RE1,CA_DEMINDCOABOI_HIG,0.05
RE1,NE_DEMINDCOABOI_LOW,0.05
RE1,AN_DEMINDCOABOI_LOW,0.05
RE1,SO_DEMINDCOABOI_LOW,0.05
RE1,OR_DEMINDCOABOI_LOW,0.05
RE1,CA_DEMINDCOABOI_LOW,0.05
RE1,NE_DEMINDCOABOI_MID,0.05
RE1,AN_DEMINDCOABOI_MID,0.05
RE1,SO_DEMINDCOABOI_MID,0.05
RE1,OR_DEMINDCOABOI_MID,0.05
RE1,CA_DEMINDCOABOI_MID,0.05
RE1,NE_DEMINDELCBOI_HIG,0.05
RE1,AN_DEMINDELCBOI_HIG,0.05
RE1,SO_DEMINDELCBOI_HIG,0.05
RE1,OR_DEMINDELCBOI_HIG,0.05
RE1,CA_DEMINDELCBOI_HIG,0.05
RE1,NE_DEMINDELCBOI_LOW,0.05
RE1,AN_DEMINDELCBOI_LOW,0.05
RE1,SO_DEMINDELCBOI_LOW,0.05
RE1,OR_DEMINDELCBOI_LOW,0.05
RE1,CA_DEMINDELCBOI_LOW,0.05
RE1,NE_DEMINDELCBOI_MID,0.05
RE1,AN_DEMINDELCBOI_MID,0.05
RE1,SO_DEMINDELCBOI_MID,0.05
RE1,OR_DEMINDELCBOI_MID,0.05
RE1,CA_DEMINDELCBOI_MID,0.05
RE1,NE_DEMINDHDGBOI_HIG,0.05
RE1,AN_DEMINDHDGBOI_HIG,0.05
RE1,SO_DEMINDHDGBOI_HIG,0.05
RE1,OR_DEMINDHDGBOI_HIG,0.05
RE1,CA_DEMINDHDGBOI_HIG,0.05
RE1,NE_DEMINDHDGBOI_LOW,0.05
RE1,AN_DEMINDHDGBOI_LOW,0.05
RE1,SO_DEMINDHDGBOI_LOW,0.05
RE1,OR_DEMINDHDGBOI_LOW,0.05
RE1,CA_DEMINDHDGBOI_LOW,0.05
RE1,NE_DEMINDAUTBOI,0.05
RE1,AN_DEMINDAUTBOI,0.05
RE1,SO_DEMINDAUTBOI,0.05
RE1,OR_DEMINDAUTBOI,0.05
RE1,CA_DEMINDAUTBOI,0.05
RE1,SO_DEMINDBAGBOI_HIG,0.05
RE1,OR_DEMINDBAGBOI_HIG,0.05
RE1,SO_DEMINDBAGBOI_LOW,0.05
RE1,OR_DEMINDBAGBOI_LOW,0.05
RE1,SO_DEMINDBAGBOI_MID,0.05
RE1,OR_DEMINDBAGBOI_MID,0.05
RE1,NE_DEMINDBGSBOI_HIG,0.05
RE1,AN_DEMINDBGSBOI_HIG,0.05
RE1,SO_DEMINDBGSBOI_HIG,0.05
RE1,OR_DEMINDBGSBOI_HIG,0.05
RE1,CA_DEMINDBGSBOI_HIG,0.05
RE1,NE_DEMINDBGSBOI_LOW,0.05
RE1,AN_DEMINDBGSBOI_LOW,0.05
RE1,SO_DEMINDBGSBOI_LOW,0.05
RE1,OR_DEMINDBGSBOI_LOW,0.05
RE1,CA_DEMINDBGSBOI_LOW,0.05
RE1,NE_DEMINDBGSBOI_MID,0.05
RE1,AN_DEMINDBGSBOI_MID,0.05
RE1,SO_DEMINDBGSBOI_MID,0.05
RE1,OR_DEMINDBGSBOI_MID,0.05
RE1,CA_DEMINDBGSBOI_MID,0.05
RE1,NE_DEMINDDSLFUR_HIG,0.05
RE1,AN_DEMINDDSLFUR_HIG,0.05
RE1,SO_DEMINDDSLFUR_HIG,0.05
RE1,OR_DEMINDDSLFUR_HIG,0.05
RE1,CA_DEMINDDSLFUR_HIG,0.05
RE1,NE_DEMINDDSLFUR_LOW,0.05
RE1,AN_DEMINDDSLFUR_LOW,0.05
RE1,SO_DEMINDDSLFUR_LOW,0.05
RE1,OR_DEMINDDSLFUR_LOW,0.05
RE1,CA_DEMINDDSLFUR_LOW,0.05
RE1,NE_DEMINDDSLFUR_MID,0.05
RE1,AN_DEMINDDSLFUR_MID,0.05
RE1,SO_DEMINDDSLFUR_MID,0.05
RE1,OR_DEMINDDSLFUR_MID,0.05
RE1,CA_DEMINDDSLFUR_MID,0.05
RE1,NE_DEMINDLPGFUR_HIG,0.05
RE1,AN_DEMINDLPGFUR_HIG,0.05
RE1,SO_DEMINDLPGFUR_HIG,0.05
RE1,OR_DEMINDLPGFUR_HIG,0.05
RE1,CA_DEMINDLPGFUR_HIG,0.05
RE1,NE_DEMINDLPGFUR_LOW,0.05
RE1,AN_DEMINDLPGFUR_LOW,0.05
RE1,SO_DEMINDLPGFUR_LOW,0.05
RE1,OR_DEMINDLPGFUR_LOW,0.05
RE1,CA_DEMINDLPGFUR_LOW,0.05
RE1,NE_DEMINDLPGFUR_MID,0.05
RE1,AN_DEMINDLPGFUR_MID,0.05
RE1,SO_DEMINDLPGFUR_MID,0.05
RE1,OR_DEMINDLPGFUR_MID,0.05
RE1,CA_DEMINDLPGFUR_MID,0.05
RE1,NE_DEMINDNGSFUR_HIG,0.05
RE1,AN_DEMINDNGSFUR_HIG,0.05
RE1,SO_DEMINDNGSFUR_HIG,0.05
RE1,OR_DEMINDNGSFUR_HIG,0.05
RE1,CA_DEMINDNGSFUR_HIG,0.05
RE1,NE_DEMINDNGSFUR_LOW,0.05
RE1,AN_DEMINDNGSFUR_LOW,0.05
RE1,SO_DEMINDNGSFUR_LOW,0.05
RE1,OR_DEMINDNGSFUR_LOW,0.05
RE1,CA_DEMINDNGSFUR_LOW,0.05
RE1,NE_DEMINDNGSFUR_MID,0.05
RE1,AN_DEMINDNGSFUR_MID,0.05
RE1,SO_DEMINDNGSFUR_MID,0.05
RE1,OR_DEMINDNGSFUR_MID,0.05
RE1,CA_DEMINDNGSFUR_MID,0.05
RE1,NE_DEMINDNGSFURCSS,0.05
RE1,AN_DEMINDNGSFURCSS,0.05
RE1,SO_DEMINDNGSFURCSS,0.05
RE1,OR_DEMINDNGSFURCSS,0.05
RE1,CA_DEMINDNGSFURCSS,0.05
RE1,NE_DEMINDELCFUR_HIG,0.05
RE1,AN_DEMINDELCFUR_HIG,0.05
RE1,SO_DEMINDELCFUR_HIG,0.05
RE1,OR_DEMINDELCFUR_HIG,0.05
RE1,CA_DEMINDELCFUR_HIG,0.05
RE1,NE_DEMINDELCFUR_LOW,0.05
RE1,AN_DEMINDELCFUR_LOW,0.05
RE1,SO_DEMINDELCFUR_LOW,0.05
RE1,OR_DEMINDELCFUR_LOW,0.05
RE1,CA_DEMINDELCFUR_LOW,0.05
RE1,NE_DEMINDELCFUR_MID,0.05
RE1,AN_DEMINDELCFUR_MID,0.05
RE1,SO_DEMINDELCFUR_MID,0.05
RE1,OR_DEMINDELCFUR_MID,0.05
RE1,CA_DEMINDELCFUR_MID,0.05
RE1,NE_DEMINDCOAFUR_HIG,0.05
RE1,AN_DEMINDCOAFUR_HIG,0.05
RE1,SO_DEMINDCOAFUR_HIG,0.05
RE1,OR_DEMINDCOAFUR_HIG,0.05
