REGION,TECHNOLOGY,VALUE
RE1,BACKSTOP_1,100.0
RE1,BACKSTOP_2,80.0
RE1,BBGDST,40.0
RE1,DEMAGFDSL,40.0
RE1,DEMAGFELC,40.0
RE1,DEMAGFGSL,40.0
RE1,DEMAGFNGS,40.0
RE1,DEMAGFWOO,40.0
RE1,DEMCONSDSL,100.0
RE1,DEMCONSELC,100.0
RE1,DEMCONSNGS,100.0
RE1,DEMCOQDSL,100.0
RE1,DEMCOQGSL,100.0
RE1,DEMINDAUTBOI,100.0
RE1,DEMINDAUTFUR,100.0
RE1,DEMINDBAGBOI_HIG,20.0
RE1,DEMINDBAGBOI_LOW,20.0
RE1,DEMINDBAGBOI_MID,20.0
RE1,DEMINDBAGFUR_HIG,20.0
RE1,DEMINDBAGFUR_LOW,20.0
RE1,DEMINDBAGFUR_MID,20.0
RE1,DEMINDBAGFURCCS,20.0
RE1,DEMINDBGSBOI_HIG,30.0
RE1,DEMINDBGSBOI_LOW,30.0
RE1,DEMINDBGSBOI_MID,30.0
RE1,DEMINDBGSFUR_HIG,20.0
RE1,DEMINDBGSFUR_LOW,20.0
RE1,DEMINDBGSFUR_MID,20.0
RE1,DEMINDCOABOI_HIG,30.0
RE1,DEMINDCOABOI_LOW,30.0
RE1,DEMINDCOABOI_MID,30.0
RE1,DEMINDCOAFUR_HIG,35.0
RE1,DEMINDCOAFUR_LOW,40.0
RE1,DEMINDCOAFUR_MID,35.0
RE1,DEMINDCOAOTH_LOW,100.0
RE1,DEMINDDSLBOI_HIG,30.0
RE1,DEMINDDSLBOI_LOW,30.0
RE1,DEMINDDSLBOI_MID,30.0
RE1,DEMINDDSLFUR_HIG,35.0
RE1,DEMINDDSLFUR_LOW,35.0
RE1,DEMINDDSLFUR_MID,35.0
RE1,DEMINDELCAIR_HIG,20.0
RE1,DEMINDELCAIR_LOW,20.0
RE1,DEMINDELCAIR_MID,20.0
RE1,DEMINDELCBOI_HIG,30.0
RE1,DEMINDELCBOI_LOW,30.0
RE1,DEMINDELCBOI_MID,30.0
RE1,DEMINDELCFUR_HIG,35.0
RE1,DEMINDELCFUR_LOW,35.0
RE1,DEMINDELCFUR_MID,35.0
RE1,DEMINDELCILU_HIG,7.0
RE1,DEMINDELCILU_LOW,7.0
RE1,DEMINDELCILU_MID,7.0
RE1,DEMINDELCMPW_HIG,30.0
RE1,DEMINDELCMPW_LOW,30.0
RE1,DEMINDELCMPW_MID,30.0
RE1,DEMINDELCOTH_HIG,5.0
RE1,DEMINDELCOTH_LOW,5.0
RE1,DEMINDELCOTH_MID,5.0
RE1,DEMINDELCREF_HIG,20.0
RE1,DEMINDELCREF_LOW,20.0
RE1,DEMINDELCREF_MID,20.0
RE1,DEMINDHDGBOI_HIG,30.0
RE1,DEMINDHDGBOI_LOW,30.0
RE1,DEMINDLPGBOI_HIG,30.0
RE1,DEMINDLPGBOI_LOW,30.0
RE1,DEMINDLPGBOI_MID,30.0
RE1,DEMINDLPGFUR_HIG,35.0
RE1,DEMINDLPGFUR_LOW,35.0
RE1,DEMINDLPGFUR_MID,35.0
RE1,DEMINDNGSBOI_HIG,30.0
RE1,DEMINDNGSBOI_LOW,30.0
RE1,DEMINDNGSBOI_MID,30.0
RE1,DEMINDNGSFUR_HIG,35.0
RE1,DEMINDNGSFUR_LOW,35.0
RE1,DEMINDNGSFUR_MID,35.0
RE1,DEMINDNGSFURCSS,35.0
RE1,DEMINDWASBOI_HIG,20.0
RE1,DEMINDWASBOI_LOW,20.0
RE1,DEMINDWASBOI_MID,20.0
RE1,DEMINDWASFUR_HIG,30.0
RE1,DEMINDWASFUR_LOW,30.0
RE1,DEMINDWASFUR_MID,30.0
RE1,DEMMINIDSL,100.0
RE1,DEMMINIELC,100.0
RE1,DEMMINIGSL,100.0
RE1,DEMMININGS,100.0
RE1,DEMNSEELC,100.0
RE1,DEMRES_MEDPVA_URB,100.0
RE1,DEMRESBGSCKN_MID_RUR,15.0
RE1,DEMRESELCAIR_PAR_HIG_RUR,20.0
RE1,DEMRESELCAIR_PAR_LOW_RUR,20.0
RE1,DEMRESELCAIR_PAR_LOW_URB,20.0
RE1,DEMRESELCAIR_PAR_MID_RUR,20.0
RE1,DEMRESELCAIR_PAR_MID_URB,20.0
RE1,DEMRESELCAIR_POR_HIG_RUR,6.0
RE1,DEMRESELCAIR_POR_HIG_URB,6.0
RE1,DEMRESELCAIR_POR_LOW_RUR,6.0
RE1,DEMRESELCAIR_POR_LOW_URB,6.0
RE1,DEMRESELCAIR_POR_MID_RUR,6.0
RE1,DEMRESELCAIR_POR_MID_URB,6.0
RE1,DEMRESELCAIR_SPL_HIG_RUR,12.0
RE1,DEMRESELCAIR_SPL_HIG_URB,12.0
RE1,DEMRESELCAIR_SPL_LOW_RUR,12.0
RE1,DEMRESELCAIR_SPL_LOW_URB,12.0
RE1,DEMRESELCAIR_SPL_MID_RUR,12.0
RE1,DEMRESELCAIR_SPL_MID_URB,12.0
RE1,DEMRESELCCKN_HIG_RUR,20.0
RE1,DEMRESELCCKN_HIG_URB,20.0
RE1,DEMRESELCCKN_LOW_RUR,20.0
RE1,DEMRESELCCKN_LOW_URB,20.0
RE1,DEMRESELCCKN_MID_RUR,20.0
RE1,DEMRESELCCKN_MID_URB,20.0
RE1,DEMRESELCFAN_HIG_RUR,8.0
RE1,DEMRESELCFAN_HIG_URB,8.0
RE1,DEMRESELCFAN_LOW_RUR,8.0
RE1,DEMRESELCFAN_LOW_URB,8.0
RE1,DEMRESELCFAN_MID_RUR,8.0
