REGION,TECHNOLOGY,YEAR,VALUE
RE1,BACKSTOP_1,2022,0.0
RE1,BACKSTOP_1,2023,0.0
RE1,BACKSTOP_1,2024,0.0
RE1,BACKSTOP_1,2025,0.0
RE1,BACKSTOP_1,2026,0.0
RE1,BACKSTOP_1,2027,0.0
RE1,BACKSTOP_1,2028,0.0
RE1,BACKSTOP_1,2029,0.0
RE1,BACKSTOP_1,2030,0.0
RE1,BACKSTOP_1,2031,0.0
RE1,BACKSTOP_1,2032,0.0
RE1,BACKSTOP_1,2033,0.0
RE1,BACKSTOP_1,2034,0.0
RE1,BACKSTOP_1,2035,0.0
RE1,BACKSTOP_1,2036,0.0
RE1,BACKSTOP_1,2037,0.0
RE1,BACKSTOP_1,2038,0.0
RE1,BACKSTOP_1,2039,0.0
RE1,BACKSTOP_1,2040,0.0
RE1,BACKSTOP_1,2041,0.0
RE1,BACKSTOP_1,2042,0.0
RE1,BACKSTOP_1,2043,0.0
RE1,BACKSTOP_1,2044,0.0
RE1,BACKSTOP_1,2045,0.0
RE1,BACKSTOP_1,2046,0.0
RE1,BACKSTOP_1,2047,0.0
RE1,BACKSTOP_1,2048,0.0
RE1,BACKSTOP_1,2049,0.0
RE1,BACKSTOP_1,2050,0.0
RE1,BACKSTOP_1,2051,0.0
RE1,BACKSTOP_1,2052,0.0
RE1,BACKSTOP_1,2053,0.0
RE1,BACKSTOP_1,2054,0.0
RE1,BACKSTOP_2,2022,0.0
RE1,BACKSTOP_2,2023,0.0
RE1,BACKSTOP_2,2024,0.0
RE1,BACKSTOP_2,2025,0.0
RE1,BACKSTOP_2,2026,0.0
RE1,BACKSTOP_2,2027,0.0
RE1,BACKSTOP_2,2028,0.0
RE1,BACKSTOP_2,2029,0.0
RE1,BACKSTOP_2,2030,0.0
RE1,BACKSTOP_2,2031,0.0
RE1,BACKSTOP_2,2032,0.0
RE1,BACKSTOP_2,2033,0.0
RE1,BACKSTOP_2,2034,0.0
RE1,BACKSTOP_2,2035,0.0
RE1,BACKSTOP_2,2036,0.0
RE1,BACKSTOP_2,2037,0.0
RE1,BACKSTOP_2,2038,0.0
RE1,BACKSTOP_2,2039,0.0
RE1,BACKSTOP_2,2040,0.0
RE1,BACKSTOP_2,2041,0.0
RE1,BACKSTOP_2,2042,0.0
RE1,BACKSTOP_2,2043,0.0
RE1,BACKSTOP_2,2044,0.0
RE1,BACKSTOP_2,2045,0.0
RE1,BACKSTOP_2,2046,0.0
RE1,BACKSTOP_2,2047,0.0
RE1,BACKSTOP_2,2048,0.0
