REGION,TECHNOLOGY,VALUE
RE1,BACKSTOP_1,9999999.0
RE1,BACKSTOP_2,9999999.0
RE1,BBGDST,9999999.0
RE1,DEMAGFDSL,9999999.0
RE1,DEMAGFELC,9999999.0
RE1,DEMAGFGSL,9999999.0
RE1,DEMAGFNGS,9999999.0
RE1,DEMAGFWOO,9999999.0
RE1,DEMCONSDSL,9999999.0
RE1,DEMCONSELC,9999999.0
RE1,DEMCONSNGS,9999999.0
RE1,DEMCOQDSL,9999999.0
RE1,DEMCOQGSL,9999999.0
RE1,DEMINDAUTBOI,9999999.0
RE1,DEMINDAUTFUR,9999999.0
RE1,DEMINDBAGBOI_HIG,9999999.0
RE1,DEMINDBAGBOI_LOW,9999999.0
RE1,DEMINDBAGBOI_MID,9999999.0
RE1,DEMINDBAGFUR_HIG,9999999.0
RE1,DEMINDBAGFUR_LOW,9999999.0
RE1,DEMINDBAGFUR_MID,9999999.0
RE1,DEMINDBAGFURCCS,9999999.0
RE1,DEMINDBGSBOI_HIG,9999999.0
RE1,DEMINDBGSBOI_LOW,9999999.0
RE1,DEMINDBGSBOI_MID,9999999.0
RE1,DEMINDBGSFUR_HIG,9999999.0
RE1,DEMINDBGSFUR_LOW,9999999.0
RE1,DEMINDBGSFUR_MID,9999999.0
RE1,DEMINDCOABOI_HIG,9999999.0
RE1,DEMINDCOABOI_LOW,9999999.0
RE1,DEMINDCOABOI_MID,9999999.0
RE1,DEMINDCOAFUR_HIG,9999999.0
RE1,DEMINDCOAFUR_LOW,9999999.0
RE1,DEMINDCOAFUR_MID,9999999.0
RE1,DEMINDCOAOTH_LOW,9999999.0
RE1,DEMINDDSLBOI_HIG,9999999.0
RE1,DEMINDDSLBOI_LOW,9999999.0
RE1,DEMINDDSLBOI_MID,9999999.0
RE1,DEMINDDSLFUR_HIG,9999999.0
RE1,DEMINDDSLFUR_LOW,9999999.0
RE1,DEMINDDSLFUR_MID,9999999.0
RE1,DEMINDELCAIR_HIG,9999999.0
RE1,DEMINDELCAIR_LOW,9999999.0
RE1,DEMINDELCAIR_MID,9999999.0
RE1,DEMINDELCBOI_HIG,9999999.0
RE1,DEMINDELCBOI_LOW,9999999.0
RE1,DEMINDELCBOI_MID,9999999.0
RE1,DEMINDELCFUR_HIG,9999999.0
RE1,DEMINDELCFUR_LOW,9999999.0
RE1,DEMINDELCFUR_MID,9999999.0
RE1,DEMINDELCILU_HIG,9999999.0
RE1,DEMINDELCILU_LOW,9999999.0
RE1,DEMINDELCILU_MID,9999999.0
RE1,DEMINDELCMPW_HIG,9999999.0
RE1,DEMINDELCMPW_LOW,9999999.0
RE1,DEMINDELCMPW_MID,9999999.0
RE1,DEMINDELCOTH_HIG,9999999.0
RE1,DEMINDELCOTH_LOW,9999999.0
RE1,DEMINDELCOTH_MID,9999999.0
RE1,DEMINDELCREF_HIG,9999999.0
RE1,DEMINDELCREF_LOW,9999999.0
RE1,DEMINDELCREF_MID,9999999.0
RE1,DEMINDHDGBOI_HIG,9999999.0
RE1,DEMINDHDGBOI_LOW,9999999.0
RE1,DEMINDLPGBOI_HIG,9999999.0
RE1,DEMINDLPGBOI_LOW,9999999.0
RE1,DEMINDLPGBOI_MID,9999999.0
RE1,DEMINDLPGFUR_HIG,9999999.0
RE1,DEMINDLPGFUR_LOW,9999999.0
RE1,DEMINDLPGFUR_MID,9999999.0
RE1,DEMINDNGSBOI_HIG,9999999.0
