,TECHNOLOGY,YEAR,VALUE
11818,PWRHYDROR_NDC,2026,0.03892999999999969
11819,PWRHYDROR_NDC,2027,0.039999999999999675
11820,PWRHYDROR_NDC,2028,0.039999999999999675
11821,PWRHYDROR_NDC,2029,0.039999999999999675
11822,PWRHYDROR_NDC,2030,0.039999999999999675
11984,PWRNGS_CS,2027,0.19999999999999998
12048,PWRSOLRTP,2025,0.002990839717616695
12063,PWRSOLRTP,2040,2.1658061763899767
12064,PWRSOLRTP,2041,4.36597490058327
12065,PWRSOLRTP,2042,0.8946956622251363
12067,PWRSOLRTP,2044,0.15680637463123667
12068,PWRSOLRTP,2045,2.4407938775757416
12069,PWRSOLRTP,2046,1.5108215996928749
12070,PWRSOLRTP,2047,1.5990407839435914
12071,PWRSOLRTP,2048,2.8165576099800163
12074,PWRSOLRTP,2051,0.9060642565726154
12075,PWRSOLRTP,2052,0.9896458772208808
12076,PWRSOLRTP,2053,0.8214382812669742
12077,PWRSOLRTP,2054,0.600958299917675
12085,PWRSOLRTP_ZNI,2029,0.05198326543882356
12086,PWRSOLRTP_ZNI,2030,0.00013321737917546453
12087,PWRSOLRTP_ZNI,2031,0.0005573329989104611
12088,PWRSOLRTP_ZNI,2032,0.0023705907040010685
12089,PWRSOLRTP_ZNI,2033,0.002388120681349036
12090,PWRSOLRTP_ZNI,2034,0.002401837529340024
12091,PWRSOLRTP_ZNI,2035,0.002423315675346645
12092,PWRSOLRTP_ZNI,2036,0.0024708172484672023
12093,PWRSOLRTP_ZNI,2037,0.002517252109390972
12094,PWRSOLRTP_ZNI,2038,0.0025685824298442637
12095,PWRSOLRTP_ZNI,2039,0.0026216587591055586
12096,PWRSOLRTP_ZNI,2040,0.0026769822374490926
12097,PWRSOLRTP_ZNI,2041,0.0027347746433748162
12098,PWRSOLRTP_ZNI,2042,0.0027918248254268038
12099,PWRSOLRTP_ZNI,2043,0.002849767610911365
12100,PWRSOLRTP_ZNI,2044,0.0029066407941804187
12101,PWRSOLRTP_ZNI,2045,0.0029665258074207286
12102,PWRSOLRTP_ZNI,2046,0.006720901733922659
12103,PWRSOLRTP_ZNI,2047,0.003087309929870643
12104,PWRSOLRTP_ZNI,2048,0.0026392370549872114
12109,PWRSOLRTP_ZNI,2053,0.0010607382045796834
12110,PWRSOLRTP_ZNI,2054,0.05341280937350679
12114,PWRSOLUGE,2025,0.213
12115,PWRSOLUGE,2026,1.7690000000000001
12116,PWRSOLUGE,2027,2.315
12119,PWRSOLUGE,2030,0.25
12124,PWRSOLUGE,2035,2.5
12125,PWRSOLUGE,2036,2.4388312963973995
12129,PWRSOLUGE,2040,1.6912040836575912
12130,PWRSOLUGE,2041,2.5
12131,PWRSOLUGE,2042,2.5
12132,PWRSOLUGE,2043,0.4492011202098903
12135,PWRSOLUGE,2046,0.051336607531000125
12136,PWRSOLUGE,2047,2.3129629687499174
12141,PWRSOLUGE,2052,2.385490665072717
12142,PWRSOLUGE,2053,2.4107104316546737
12143,PWRSOLUGE,2054,1.446426258992821
12180,PWRSOLUPE,2025,0.11
12181,PWRSOLUPE,2026,0.11
12182,PWRSOLUPE,2027,0.11
12183,PWRSOLUPE,2028,0.11
12184,PWRSOLUPE,2029,0.11
12185,PWRSOLUPE,2030,0.11
12200,PWRSOLUPE,2045,0.24952964324163782
12202,PWRSOLUPE,2047,0.04035133362564022
12206,PWRSOLUPE,2051,0.11
12207,PWRSOLUPE,2052,0.11
12208,PWRSOLUPE,2053,0.11
12209,PWRSOLUPE,2054,0.11
12345,PWRWNDONS,2025,0.004871363339856481
12347,PWRWNDONS,2027,0.5489999999999999
12348,PWRWNDONS,2028,0.20099999999999998
12349,PWRWNDONS,2029,0.3
