,TECHNOLOGY,YEAR,VALUE
11517,PWRBGS,2022,0.0008082378082191781
11518,PWRBGS,2023,0.0008082378082191781
11519,PWRBGS,2024,0.0008082378082191781
11520,PWRBGS,2025,0.0008082378082191781
11521,PWRBGS,2026,0.0008082378082191781
11522,PWRBGS,2027,0.0008082378082191781
11523,PWRBGS,2028,0.0008082378082191781
11524,PWRBGS,2029,0.0008082378082191781
11525,PWRBGS,2030,0.0008082378082191781
11526,PWRBGS,2031,0.0008082378082191781
11527,PWRBGS,2032,0.0008082378082191781
11528,PWRBGS,2033,0.0008082378082191781
11529,PWRBGS,2034,0.0008082378082191781
11530,PWRBGS,2035,0.0008082378082191781
11531,PWRBGS,2036,0.0008082378082191781
11532,PWRBGS,2037,0.0008082378082191781
11533,PWRBGS,2038,0.0008082378082191781
11534,PWRBGS,2039,0.0008082378082191781
11535,PWRBGS,2040,0.0008082378082191781
11536,PWRBGS,2041,0.0008082378082191781
11537,PWRBGS,2042,0.0008082378082191781
11538,PWRBGS,2043,0.0008082378082191781
11539,PWRBGS,2044,0.0008082378082191781
11540,PWRBGS,2045,0.0008082378082191781
11541,PWRBGS,2046,0.0008082378082191781
11542,PWRBGS,2047,0.0008082378082191781
11543,PWRBGS,2048,0.0008082378082191781
11544,PWRBGS,2049,0.0008082378082191781
11545,PWRBGS,2050,0.0008082378082191781
11546,PWRBGS,2051,0.0008082378082191781
11547,PWRBGS,2052,0.0008082378082191781
11548,PWRBGS,2053,0.0008082378082191781
11549,PWRBGS,2054,0.0008082378082191781
11550,PWRCOA,2022,1.6319999999999997
11551,PWRCOA,2023,1.6339999999999997
11552,PWRCOA,2024,1.6129999999999998
11553,PWRCOA,2025,1.6129999999999998
11554,PWRCOA,2026,1.6129999999999998
11555,PWRCOA,2027,1.6129999999999998
11556,PWRCOA,2028,1.338
11557,PWRCOA,2029,1.338
11558,PWRCOA,2030,1.338
11559,PWRCOA,2031,1.338
11560,PWRCOA,2032,1.338
11561,PWRCOA,2033,1.338
11562,PWRCOA,2034,1.338
11563,PWRCOA,2035,1.338
11564,PWRCOA,2036,1.338
11565,PWRCOA,2037,1.338
11566,PWRCOA,2038,1.338
11567,PWRCOA,2039,1.338
11568,PWRCOA,2040,1.338
11569,PWRCOA,2041,1.338
11570,PWRCOA,2042,1.338
11571,PWRCOA,2043,1.338
11572,PWRCOA,2044,1.338
11573,PWRCOA,2045,1.338
11574,PWRCOA,2046,1.338
11575,PWRCOA,2047,1.338
11576,PWRCOA,2048,1.338
11577,PWRCOA,2049,1.338
11578,PWRCOA,2050,1.338
11579,PWRCOA,2051,1.338
11580,PWRCOA,2052,1.338
11581,PWRCOA,2053,1.338
11582,PWRCOA,2054,1.338
11649,PWRDSL,2022,0.823
11650,PWRDSL,2023,0.903
11651,PWRDSL,2024,0.903
11652,PWRDSL,2025,0.903
11653,PWRDSL,2026,0.903
11654,PWRDSL,2027,0.791
11655,PWRDSL,2028,0.791
11656,PWRDSL,2029,0.791
11657,PWRDSL,2030,0.791
11658,PWRDSL,2031,0.791
11659,PWRDSL,2032,0.791
11660,PWRDSL,2033,0.791
11661,PWRDSL,2034,0.791
11662,PWRDSL,2035,0.791
11663,PWRDSL,2036,0.791
11664,PWRDSL,2037,0.791
11665,PWRDSL,2038,0.791
11666,PWRDSL,2039,0.791
11667,PWRDSL,2040,0.791
11668,PWRDSL,2041,0.791
11669,PWRDSL,2042,0.791
11670,PWRDSL,2043,0.791
11671,PWRDSL,2044,0.791
11672,PWRDSL,2045,0.791
11673,PWRDSL,2046,0.791
11674,PWRDSL,2047,0.791
11675,PWRDSL,2048,0.791
11676,PWRDSL,2049,0.791
11677,PWRDSL,2050,0.791
11678,PWRDSL,2051,0.791
11679,PWRDSL,2052,0.791
11680,PWRDSL,2053,0.791
11681,PWRDSL,2054,0.791
11682,PWRFOIL,2022,0.26799999999999996
11683,PWRFOIL,2023,0.26599999999999996
11684,PWRFOIL,2024,0.26599999999999996
11685,PWRFOIL,2025,0.26599999999999996
11686,PWRFOIL,2026,0.26599999999999996
11687,PWRFOIL,2027,0.26599999999999996
11688,PWRFOIL,2028,0.26599999999999996
11689,PWRFOIL,2029,0.26599999999999996
11690,PWRFOIL,2030,0.26599999999999996
11691,PWRFOIL,2031,0.26599999999999996
11692,PWRFOIL,2032,0.26599999999999996
11693,PWRFOIL,2033,0.26599999999999996
11694,PWRFOIL,2034,0.26599999999999996
11695,PWRFOIL,2035,0.26599999999999996
11696,PWRFOIL,2036,0.26599999999999996
11697,PWRFOIL,2037,0.26599999999999996
11698,PWRFOIL,2038,0.26599999999999996
11699,PWRFOIL,2039,0.26599999999999996
11700,PWRFOIL,2040,0.26599999999999996
11701,PWRFOIL,2041,0.26599999999999996
11702,PWRFOIL,2042,0.26599999999999996
11703,PWRFOIL,2043,0.26599999999999996
11704,PWRFOIL,2044,0.26599999999999996
11705,PWRFOIL,2045,0.26599999999999996
11706,PWRFOIL,2046,0.26599999999999996
11707,PWRFOIL,2047,0.26599999999999996
11708,PWRFOIL,2048,0.26599999999999996
11709,PWRFOIL,2049,0.26599999999999996
11710,PWRFOIL,2050,0.26599999999999996
11711,PWRFOIL,2051,0.26599999999999996
11712,PWRFOIL,2052,0.26599999999999996
11713,PWRFOIL,2053,0.26599999999999996
11714,PWRFOIL,2054,0.26599999999999996
11748,PWRHYDDAM,2022,10.947999999999999
11749,PWRHYDDAM,2023,11.568
11750,PWRHYDDAM,2024,11.568
11751,PWRHYDDAM,2025,11.568
11752,PWRHYDDAM,2026,11.568
11753,PWRHYDDAM,2027,12.768
11754,PWRHYDDAM,2028,12.768
11755,PWRHYDDAM,2029,12.768
11756,PWRHYDDAM,2030,12.768
11757,PWRHYDDAM,2031,12.768
11758,PWRHYDDAM,2032,12.768
11759,PWRHYDDAM,2033,12.768
11760,PWRHYDDAM,2034,12.768
11761,PWRHYDDAM,2035,12.768
11762,PWRHYDDAM,2036,12.768
11763,PWRHYDDAM,2037,12.768
11764,PWRHYDDAM,2038,12.768
11765,PWRHYDDAM,2039,12.768
11766,PWRHYDDAM,2040,12.768
11767,PWRHYDDAM,2041,12.768
11768,PWRHYDDAM,2042,12.768
11769,PWRHYDDAM,2043,12.768
11770,PWRHYDDAM,2044,12.768
11771,PWRHYDDAM,2045,12.768
11772,PWRHYDDAM,2046,12.768
11773,PWRHYDDAM,2047,12.768
11774,PWRHYDDAM,2048,12.768
11775,PWRHYDDAM,2049,12.768
11776,PWRHYDDAM,2050,12.768
11777,PWRHYDDAM,2051,12.768
11778,PWRHYDDAM,2052,12.768
11779,PWRHYDDAM,2053,12.768
11780,PWRHYDDAM,2054,12.768
11781,PWRHYDROR,2022,0.6709999999999999
11782,PWRHYDROR,2023,0.669
11783,PWRHYDROR,2024,0.669
11784,PWRHYDROR,2025,0.669
11785,PWRHYDROR,2026,0.669
11786,PWRHYDROR,2027,0.669
11787,PWRHYDROR,2028,0.669
11788,PWRHYDROR,2029,0.669
11789,PWRHYDROR,2030,0.669
11790,PWRHYDROR,2031,0.669
11791,PWRHYDROR,2032,0.669
11792,PWRHYDROR,2033,0.669
11793,PWRHYDROR,2034,0.669
11794,PWRHYDROR,2035,0.669
11795,PWRHYDROR,2036,0.669
11796,PWRHYDROR,2037,0.669
11797,PWRHYDROR,2038,0.669
11798,PWRHYDROR,2039,0.669
11799,PWRHYDROR,2040,0.669
11800,PWRHYDROR,2041,0.669
11801,PWRHYDROR,2042,0.669
11802,PWRHYDROR,2043,0.669
11803,PWRHYDROR,2044,0.669
11804,PWRHYDROR,2045,0.669
11805,PWRHYDROR,2046,0.669
11806,PWRHYDROR,2047,0.669
11807,PWRHYDROR,2048,0.669
11808,PWRHYDROR,2049,0.669
11809,PWRHYDROR,2050,0.669
11810,PWRHYDROR,2051,0.669
11811,PWRHYDROR,2052,0.669
11812,PWRHYDROR,2053,0.669
11813,PWRHYDROR,2054,0.669
11814,PWRHYDROR_NDC,2022,0.8911269999999994
11815,PWRHYDROR_NDC,2023,0.9301469999999995
11816,PWRHYDROR_NDC,2024,0.9425769999999996
11817,PWRHYDROR_NDC,2025,0.9425769999999996
11818,PWRHYDROR_NDC,2026,0.9815069999999992
11819,PWRHYDROR_NDC,2027,1.0215069999999988
11820,PWRHYDROR_NDC,2028,1.0615069999999986
11821,PWRHYDROR_NDC,2029,1.1015069999999982
11822,PWRHYDROR_NDC,2030,1.1415069999999978
11823,PWRHYDROR_NDC,2031,1.1415069999999978
11824,PWRHYDROR_NDC,2032,1.1415069999999978
11825,PWRHYDROR_NDC,2033,1.1415069999999978
11826,PWRHYDROR_NDC,2034,1.1415069999999978
11827,PWRHYDROR_NDC,2035,1.1415069999999978
11828,PWRHYDROR_NDC,2036,1.1415069999999978
11829,PWRHYDROR_NDC,2037,1.1415069999999978
11830,PWRHYDROR_NDC,2038,1.1415069999999978
11831,PWRHYDROR_NDC,2039,1.1415069999999978
11832,PWRHYDROR_NDC,2040,1.1415069999999978
11833,PWRHYDROR_NDC,2041,1.1415069999999978
11834,PWRHYDROR_NDC,2042,1.1415069999999978
11835,PWRHYDROR_NDC,2043,1.1415069999999978
11836,PWRHYDROR_NDC,2044,1.1415069999999978
11837,PWRHYDROR_NDC,2045,1.1415069999999978
11838,PWRHYDROR_NDC,2046,1.1415069999999978
11839,PWRHYDROR_NDC,2047,1.1415069999999978
11840,PWRHYDROR_NDC,2048,1.1415069999999978
11841,PWRHYDROR_NDC,2049,1.1415069999999978
11842,PWRHYDROR_NDC,2050,1.1415069999999978
11843,PWRHYDROR_NDC,2051,1.1415069999999978
