,COLOR,TIME,VALUE
33,BAG,2022,39.84428709093508
34,BAG,2023,41.52071508213359
35,BAG,2024,40.72285169258065
36,BAG,2025,40.709822464826615
37,BAG,2026,40.68310269457404
38,BAG,2027,40.62401529782227
39,BAG,2028,40.50952833747139
40,BAG,2029,40.30797747247547
41,BAG,2030,39.97829128975797
42,BAG,2031,39.46994126310042
43,BAG,2032,38.72405425915704
44,BAG,2033,37.676230373346435
45,BAG,2034,36.26163658513343
46,BAG,2035,34.42280915663884
47,BAG,2036,32.12018709809111
48,BAG,2037,29.344625194056114
49,BAG,2038,26.13000024825528
50,BAG,2039,24.06374420842203
51,BAG,2040,24.21039893709451
52,BAG,2041,24.87728988950652
53,BAG,2042,26.19060202647296
54,BAG,2043,28.062750727614798
55,BAG,2044,27.91190799363871
56,BAG,2045,28.380914677673168
57,BAG,2046,29.46011073451885
58,BAG,2047,31.06478561926756
59,BAG,2048,33.06757850705051
60,BAG,2049,35.33288159548723
61,BAG,2050,37.74891530916517
62,BAG,2051,40.23841498497732
63,BAG,2052,42.75920861224288
64,BAG,2053,45.29104484797456
65,BAG,2054,47.82610624063661
99,BGS,2022,0.0
100,BGS,2023,0.0
101,BGS,2024,0.0
102,BGS,2025,0.76
103,BGS,2026,1.519
104,BGS,2027,2.277
105,BGS,2028,3.034
106,BGS,2029,3.79
107,BGS,2030,4.544
108,BGS,2031,5.296
109,BGS,2032,5.29705413639079
110,BGS,2033,5.69022186602604
111,BGS,2034,8.34597282128652
112,BGS,2035,10.216999999999999
113,BGS,2036,11.897
114,BGS,2037,13.543
115,BGS,2038,16.08
116,BGS,2039,18.616
117,BGS,2040,21.153
118,BGS,2041,23.689
119,BGS,2042,26.225
120,BGS,2043,28.759999999999998
121,BGS,2044,31.296
122,BGS,2045,33.832
123,BGS,2046,36.368
124,BGS,2047,38.903999999999996
125,BGS,2048,41.441
126,BGS,2049,43.978
127,BGS,2050,46.515
128,BGS,2051,49.051
129,BGS,2052,51.587
130,BGS,2053,54.123
131,BGS,2054,56.659
132,COA,2022,28.751746928209187
133,COA,2023,29.18515243269068
134,COA,2024,27.738343465799357
135,COA,2025,27.737174598916777
136,COA,2026,28.273761466859025
137,COA,2027,28.3589704730303
138,COA,2028,28.5349303138945
139,COA,2029,28.516729477491005
140,COA,2030,27.940199759896405
141,COA,2031,27.624428457995187
142,COA,2032,27.55511231865446
143,COA,2033,27.455752165483293
144,COA,2034,27.31773566554137
145,COA,2035,29.323420464855822
146,COA,2036,32.24986611514957
147,COA,2037,36.00598449910496
148,COA,2038,39.6096483385613
149,COA,2039,42.3749047033057
150,COA,2040,43.2378873699058
151,COA,2041,43.8886166149313
152,COA,2042,44.3008389957955
153,COA,2043,44.45122963398251
154,COA,2044,44.3245524421799
155,COA,2045,43.9158373521974
156,COA,2046,43.2334549916238
157,COA,2047,42.299935249171895
158,COA,2048,41.1513534947145
159,COA,2049,39.8331074354429
160,COA,2050,38.398939454990796
161,COA,2051,36.9061316250048
162,COA,2052,35.4139141643733
163,COA,2053,33.9762725350313
164,COA,2054,32.6414896253471
4719,DSL,2022,1.3550001965350096
4720,DSL,2023,1.3634912098015775
4721,DSL,2024,1.337165389188678
4722,DSL,2025,1.3371090423364689
4723,DSL,2026,1.336993439675742
4724,DSL,2027,1.336737564719704
4725,DSL,2028,1.3362408637339183
4726,DSL,2029,1.3353634671250267
4727,DSL,2030,1.3339200220110374
4728,DSL,2031,1.3316739579526125
4729,DSL,2032,1.3283324771409413
4730,DSL,2033,1.3235426828964232
4731,DSL,2034,1.3168894057428313
4732,DSL,2035,1.307895448216531
4733,DSL,2036,1.2960251351931675
4734,DSL,2037,1.2806922044170768
4735,DSL,2038,1.261273169725177
4736,DSL,2039,1.2371272923285228
4737,DSL,2040,1.207624146374084
4738,DSL,2041,1.1721793979720485
4739,DSL,2042,1.1302987656753651
4740,DSL,2043,1.0816291435372705
4741,DSL,2044,1.026014531472313
4742,DSL,2045,0.9635527851639841
4743,DSL,2046,0.8946474223461749
4744,DSL,2047,0.8200470828830722
4745,DSL,2048,0.740864147042601
4746,DSL,2049,0.6585639785375329
4747,DSL,2050,0.5749177950244604
4748,DSL,2051,0.4919156561285258
4749,DSL,2052,0.41164153461963143
4750,DSL,2053,0.3361193980291256
4751,DSL,2054,0.2671465197953798
4752,ELC,2022,0.0468572201137903
4753,ELC,2023,0.0446545747243425
4754,ELC,2024,0.043762321288358996
4755,ELC,2025,0.0427920601488126
4756,ELC,2026,0.0437566937796818
4757,ELC,2027,0.0437483195859386
4758,ELC,2028,0.043732063714899495
4759,ELC,2029,0.0437033485592383
4760,ELC,2030,0.0426900005970028
4761,ELC,2031,0.0426181188691534
4762,ELC,2032,0.0434732405672526
4763,ELC,2033,0.0433164817127919
4764,ELC,2034,0.0421449626587006
4765,ELC,2035,0.0418571252727767
4766,ELC,2036,0.0414772346783689
4767,ELC,2037,0.0409865284792086
4768,ELC,2038,0.040365052986742
4769,ELC,2039,0.0404883064422772
4770,ELC,2040,0.0386481008448631
4771,ELC,2041,0.0375137477311266
4772,ELC,2042,0.0361734243322374
4773,ELC,2043,0.034615830050836
4774,ELC,2044,0.0335790755099187
4775,ELC,2045,0.031534847449367596
4776,ELC,2046,0.0292797347680908
4777,ELC,2047,0.0268382387121797
4778,ELC,2048,0.0237101852867194
4779,ELC,2049,0.0215532713086344
4780,ELC,2050,0.0188157257611348
4781,ELC,2051,0.016099258299926502
4782,ELC,2052,0.9805928860631328
4783,ELC,2053,2.605526025429511
4784,ELC,2054,4.16971377927981
4884,LPG,2022,0.6016513101069525
4885,LPG,2023,0.6060021959991821
4886,LPG,2024,0.5945459553717282
4887,LPG,2025,0.5945209017819836
4888,LPG,2026,0.5944695011886695
4889,LPG,2027,0.5943557311035146
4890,LPG,2028,0.5941348821610288
4891,LPG,2029,0.5937447639233843
4892,LPG,2030,0.5931029626463966
4893,LPG,2031,0.5921042916426161
4894,LPG,2032,0.590618563760638
4895,LPG,2033,0.588488869993386
4896,LPG,2034,0.5855306128820252
4897,LPG,2035,0.5815316153658765
4898,LPG,2036,0.576253699369768
4899,LPG,2037,0.5694361941825845
4900,LPG,2038,0.5608018781685442
4901,LPG,2039,0.5500658586296323
4902,LPG,2040,0.5369478283247979
4903,LPG,2041,0.5211879739552597
4904,LPG,2042,0.502566522381861
4905,LPG,2043,0.4809264715507277
4906,LPG,2044,0.4561984588978964
4907,LPG,2045,0.42842599415020804
4908,LPG,2046,1.1150284319765362
4909,LPG,2047,1.8597731306615772
4910,LPG,2048,3.8675658970470606
4911,LPG,2049,5.978972643357785
4912,LPG,2050,8.17778090889317
4913,LPG,2051,10.130006033224792
4914,LPG,2052,12.775183127783396
4915,LPG,2053,15.148603601111562
4916,LPG,2054,17.686936081509444
4917,NGS,2022,20.30391003915368
4918,NGS,2023,20.10045593505911
4919,NGS,2024,20.434687240166955
4920,NGS,2025,20.433826142271936
4921,NGS,2026,20.432059491538155
4922,NGS,2027,20.428149186394545
4923,NGS,2028,20.420558555214058
4924,NGS,2029,20.407150097716517
4925,NGS,2030,20.385091233726165
4926,NGS,2031,20.350766671539365
4927,NGS,2032,20.29970184750355
4928,NGS,2033,20.22650376137093
4929,NGS,2034,20.124827754158233
4930,NGS,2035,19.987381249344956
4931,NGS,2036,19.80597800929956
4932,NGS,2037,19.571658719092227
4933,NGS,2038,19.274895204538804
4934,NGS,2039,18.905895635203812
4935,NGS,2040,18.455025783909083
4936,NGS,2041,17.913355805192747
4937,NGS,2042,17.27333204349309
4938,NGS,2043,16.52955830052147
4939,NGS,2044,18.26622891693
4940,NGS,2045,20.17060181023417
4941,NGS,2046,21.65458357499068
4942,NGS,2047,23.05153417103204
4943,NGS,2048,23.714084134317478
4944,NGS,2049,24.90688909780472
4945,NGS,2050,26.28078390194741
4946,NGS,2051,28.18399884607323
4947,NGS,2052,29.49324217126225
4948,NGS,2053,30.87510577690605
4949,NGS,2054,32.357055764726255
4950,WAS,2022,4.849347164799352
4951,WAS,2023,4.88077145966936
4952,WAS,2024,4.787025460866456
4953,WAS,2025,5.106165360474304
4954,WAS,2026,5.862024415889347
4955,WAS,2027,6.613078613694497
4956,WAS,2028,7.84652327432137
4957,WAS,2029,9.5497408224324
4958,WAS,2030,11.270985772499289
4959,WAS,2031,12.96622854972392
4960,WAS,2032,15.414548538860181
4961,WAS,2033,17.82737544534147
4962,WAS,2034,20.1980880612438
4963,WAS,2035,22.517931447635412
4964,WAS,2036,24.784255157472
4965,WAS,2037,26.993984158497604
4966,WAS,2038,29.1531007141148
4967,WAS,2039,31.269763269330298
4968,WAS,2040,33.362575269058
4969,WAS,2041,35.4515326301847
4970,WAS,2042,37.5624143628917
4971,WAS,2043,39.7178635988568
4972,WAS,2044,41.9380216565
4973,WAS,2045,43.9103723362081
4974,WAS,2046,45.5161230921714
4975,WAS,2047,47.1846445843128
4976,WAS,2048,48.4119450713701
4977,WAS,2049,49.1900966167403
4978,WAS,2050,49.9528768686514
4979,WAS,2051,50.7284106936029
4980,WAS,2052,50.7266231642325
4981,WAS,2053,50.72613370819647
4982,WAS,2054,50.72502337365361
