,COLOR,TIME,VALUE
33,BAG,2022,64.14983592555556
34,BAG,2023,66.84738578561519
35,BAG,2024,65.55555146348689
36,BAG,2025,65.53002408296406
37,BAG,2026,65.48061253570563
38,BAG,2027,65.37667963282861
39,BAG,2028,65.18057160293732
40,BAG,2029,64.84089551803065
41,BAG,2030,64.29152952507218
42,BAG,2031,63.45183356504792
43,BAG,2032,62.22861181721598
44,BAG,2033,60.5205161491713
45,BAG,2034,58.22575885961132
46,BAG,2035,55.254026911465274
47,BAG,2036,51.542949629319516
48,BAG,2037,47.078088551302606
49,BAG,2038,41.91335565113895
50,BAG,2039,37.854368193910084
51,BAG,2040,36.387967092177796
52,BAG,2041,35.735256676316936
53,BAG,2042,36.62782851744802
54,BAG,2043,38.5067678899026
55,BAG,2044,37.27579163045476
56,BAG,2045,37.004175050417174
57,BAG,2046,37.68221516914367
58,BAG,2047,39.1678776066656
59,BAG,2048,41.25940824407112
60,BAG,2049,43.74521711365855
61,BAG,2050,46.44932512318263
62,BAG,2051,49.25124470492187
63,BAG,2052,52.09109906671914
64,BAG,2053,54.936279684562976
65,BAG,2054,57.77777969919183
99,BGS,2022,0.0
100,BGS,2023,0.0
101,BGS,2024,0.0
102,BGS,2025,1.169230769230769
103,BGS,2026,2.3369230769230764
104,BGS,2027,3.503076923076923
105,BGS,2028,4.667692307692307
106,BGS,2029,5.8307692307692305
107,BGS,2030,6.99076923076923
108,BGS,2031,8.147692307692308
109,BGS,2032,8.1493140559856
110,BGS,2033,8.754187486193908
111,BGS,2034,12.65545813206855
112,BGS,2035,15.304577984095657
113,BGS,2036,17.62748697493802
114,BGS,2037,19.87984518993846
115,BGS,2038,23.09818929561004
116,BGS,2039,26.295582385172686
117,BGS,2040,29.475219885081856
118,BGS,2041,32.63293899451422
119,BGS,2042,35.76669860430927
120,BGS,2043,38.871321474585216
121,BGS,2044,41.94563009148062
122,BGS,2045,44.986185897435895
123,BGS,2046,48.00002136752136
124,BGS,2047,50.97894230769231
125,BGS,2048,53.92759615384615
126,BGS,2049,56.84868589743589
127,BGS,2050,62.981608331217885
128,BGS,2051,70.43315953606506
129,BGS,2052,78.23815453055116
130,BGS,2053,86.65290598290598
131,BGS,2054,93.13253261358524
132,COA,2022,84.60533665368972
133,COA,2023,85.50261037643705
134,COA,2024,80.91006629156735
135,COA,2025,80.90387564674798
136,COA,2026,81.72314529007282
137,COA,2027,81.84331430456312
138,COA,2028,82.09727815265904
139,COA,2029,82.04404952839865
140,COA,2030,81.11997773788791
141,COA,2031,80.5829568375494
142,COA,2032,80.4080841562673
143,COA,2033,80.16694363644052
144,COA,2034,79.84407685205592
145,COA,2035,82.32821410748909
146,COA,2036,85.87875128059721
147,COA,2037,90.98638941163085
148,COA,2038,95.93960534677353
149,COA,2039,99.55396112564516
150,COA,2040,100.18624112433164
151,COA,2041,100.42849864695603
152,COA,2042,100.23063175164752
153,COA,2043,99.54662156370632
154,COA,2044,98.34301985339732
155,COA,2045,96.60267734551017
156,COA,2046,94.3402307454749
157,COA,2047,91.5702637237585
158,COA,2048,88.34476169324111
159,COA,2049,84.73361062791633
160,COA,2050,80.82401420717842
161,COA,2051,76.7142101833603
162,COA,2052,72.5110051699424
163,COA,2053,68.31927078555309
164,COA,2054,66.40756936783035
4719,DSL,2022,8.205206033009626
4720,DSL,2023,8.256141763947802
4721,DSL,2024,8.09543356261534
4722,DSL,2025,8.094245692778086
4723,DSL,2026,8.09242864969018
4724,DSL,2027,8.089527084039075
4725,DSL,2028,8.08500302191566
4726,DSL,2029,8.07818263404772
4727,DSL,2030,8.068274056254294
4728,DSL,2031,8.054386619479384
4729,DSL,2032,8.035524839055988
4730,DSL,2033,8.010533391894034
4731,DSL,2034,7.977999610070926
4732,DSL,2035,7.936157530446754
4733,DSL,2036,7.882843644056637
4734,DSL,2037,7.815522782871389
4735,DSL,2038,7.731368072202498
4736,DSL,2039,7.627369817984673
4737,DSL,2040,7.500459387145594
4738,DSL,2041,7.3476472952811855
4739,DSL,2042,7.1661803801464865
4740,DSL,2043,6.953721527789337
4741,DSL,2044,6.708550234020919
4742,DSL,2045,6.4297756999718105
4743,DSL,2046,6.117634791831832
4744,DSL,2047,5.773380441444014
4745,DSL,2048,5.399763898306542
4746,DSL,2049,5.00095496433819
4747,DSL,2050,4.582497875967433
4748,DSL,2051,4.151144749995561
4749,DSL,2052,3.714561758345053
4750,DSL,2053,3.280921317340542
4751,DSL,2054,2.858413879429938
4752,ELC,2022,54.79592698182503
