,COLOR,TIME,VALUE
66,DSL,2022,1.72651858805586
67,DSL,2023,1.46208118916396
68,DSL,2024,1.48693656937975
69,DSL,2025,1.52980654200507
70,DSL,2026,1.57342399382491
71,DSL,2027,1.62004658032787
72,DSL,2028,1.66664315540479
73,DSL,2029,1.7119967653992
74,DSL,2030,1.75879730355847
75,DSL,2031,1.80581099170247
76,DSL,2032,1.85394675948337
77,DSL,2033,1.90281100848378
78,DSL,2034,1.95293274125488
79,DSL,2035,2.00495608450544
80,DSL,2036,2.05637724137044
81,DSL,2037,2.10928507253034
82,DSL,2038,2.16357787361429
83,DSL,2039,2.2192705275703
84,DSL,2040,2.27652138757453
85,DSL,2041,2.33547233302042
86,DSL,2042,2.39584720378484
87,DSL,2043,2.4576775852092
88,DSL,2044,2.52099565018854
89,DSL,2045,2.5858341983432
90,DSL,2046,2.65222667941503
91,DSL,2047,2.72020720253727
92,DSL,2048,2.78981054203777
93,DSL,2049,2.86107214523906
94,DSL,2050,2.93402814240695
95,DSL,2051,3.00884837183535
96,DSL,2052,3.08558052599995
97,DSL,2053,3.17806599501793
98,DSL,2054,3.27332357187992
99,ELC,2022,3.187044
100,ELC,2023,3.351384
101,ELC,2024,3.406068
102,ELC,2025,3.50426858563824
103,ELC,2026,3.60418139291223
104,ELC,2027,3.7109779457949
105,ELC,2028,3.81771491531156
106,ELC,2029,3.92160467286247
107,ELC,2030,4.02880885271095
108,ELC,2031,4.13650128697267
109,ELC,2032,4.2467640255926
110,ELC,2033,4.35869546792289
111,ELC,2034,4.47350737961555
112,ELC,2035,4.59267523677078
113,ELC,2036,4.71046368889952
114,ELC,2037,4.83165760824626
115,ELC,2038,4.95602402454845
116,ELC,2039,5.08359702959853
117,ELC,2040,5.21473935688303
118,ELC,2041,5.34977600403251
119,ELC,2042,5.48807438175053
120,ELC,2043,5.62970684135516
121,ELC,2044,5.77474708005074
122,ELC,2045,5.92327023065708
123,ELC,2046,6.07535291520205
124,ELC,2047,6.23107326615589
125,ELC,2048,6.39051093972437
126,ELC,2049,6.55374713371607
127,ELC,2050,6.72086461033127
128,ELC,2051,6.89225241157088
129,ELC,2052,7.06801978474143
130,ELC,2053,7.27987266601028
131,ELC,2054,7.49807550733424
132,GSL,2022,0.342821089361825
133,GSL,2023,0.341808903848397
134,GSL,2024,0.340796718334969
135,GSL,2025,0.350622252447642
136,GSL,2026,0.36061910419535
137,GSL,2027,0.371304714333462
138,GSL,2028,0.381984362812676
139,GSL,2029,0.392379131338133
140,GSL,2030,0.403105526901625
141,GSL,2031,0.413880775130931
142,GSL,2032,0.4249131971132
143,GSL,2033,0.436112582511454
144,GSL,2034,0.44760017545752
145,GSL,2035,0.459523605832226
146,GSL,2036,0.471309018790285
147,GSL,2037,0.483435168354981
148,GSL,2038,0.49587874450991
149,GSL,2039,0.508643158335235
150,GSL,2040,0.521764703405201
151,GSL,2041,0.535275897604348
152,GSL,2042,0.549113446730598
153,GSL,2043,0.563284589949984
154,GSL,2044,0.577796701092209
155,GSL,2045,0.59265729762857
156,GSL,2046,0.60787404603421
157,GSL,2047,0.623454763912724
158,GSL,2048,0.639407421326229
159,GSL,2049,0.655740142583074
160,GSL,2050,0.672461208518013
161,GSL,2051,0.689609545023656
162,GSL,2052,0.70719608292216
163,GSL,2053,0.72839318371587
164,GSL,2054,0.750225634581376
231,NGS,2022,0.250918687164588
232,NGS,2023,0.231207181548833
233,NGS,2024,0.21422476915366
234,NGS,2025,0.220401098513234
235,NGS,2026,0.226685118114065
236,NGS,2027,0.233402091142113
237,NGS,2028,0.240115316672216
238,NGS,2029,0.246649466703505
239,NGS,2030,0.253392077444203
240,NGS,2031,0.260165396963752
241,NGS,2032,0.267100375868198
242,NGS,2033,0.27414030795242
243,NGS,2034,0.28136140726061
244,NGS,2035,0.288856473915068
245,NGS,2036,0.296264782840858
246,NGS,2037,0.303887278749596
247,NGS,2038,0.311709308968254
248,NGS,2039,0.319733017701342
249,NGS,2040,0.32798121908452
250,NGS,2041,0.336474353855429
251,NGS,2042,0.345172635287557
252,NGS,2043,0.354080613919654
253,NGS,2044,0.36320292494003
254,NGS,2045,0.372544293830087
255,NGS,2046,0.382109539735018
256,NGS,2047,0.391903576799343
257,NGS,2048,0.401931415002986
258,NGS,2049,0.412198161285031
259,NGS,2050,0.422709020977038
260,NGS,2051,0.433488462889621
261,NGS,2052,0.444543358136048
262,NGS,2053,0.457867852709954
263,NGS,2054,0.47159172824952
264,WOO,2022,13.0862351976512
265,WOO,2023,13.7596850535514
266,WOO,2024,14.5844251123982
267,WOO,2025,15.0049096967443
268,WOO,2026,15.432725834137
269,WOO,2027,15.8900174465709
270,WOO,2028,16.3470539292953
271,WOO,2029,16.7918989496961
272,WOO,2030,17.2509359779457
273,WOO,2031,17.712063660265
274,WOO,2032,18.1841971156424
275,WOO,2033,18.6634757848847
276,WOO,2034,19.1550883211267
277,WOO,2035,19.6653525579199
278,WOO,2036,20.1697103273998
279,WOO,2037,20.6886499495067
280,WOO,2038,21.2211738700675
281,WOO,2039,21.7674280665535
282,WOO,2040,22.3289657256215
283,WOO,2041,22.9071784529601
284,WOO,2042,23.4993575677032
285,WOO,2043,24.1058128705886
286,WOO,2044,24.7268599252981
287,WOO,2045,25.3628204426675
288,WOO,2046,26.0140225101655
289,WOO,2047,26.6808006828158
290,WOO,2048,27.3634960401177
291,WOO,2049,28.0624562625515
292,WOO,2050,28.7780357291586
293,WOO,2051,29.5119002768886
294,WOO,2052,30.2645176912235
295,WOO,2053,31.1716494577388
296,WOO,2054,32.1059710856692
