,REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE,TIME,COLOR
1197801,RE1,S101,MINNGS,ELC,2022,0.0,2022,MINNGS
1197802,RE1,S101,MINNGS,ELC,2023,0.0,2023,MINNGS
1197803,RE1,S101,MINNGS,ELC,2024,0.0,2024,MINNGS
1197804,RE1,S101,MINNGS,ELC,2025,0.0,2025,MINNGS
1197805,RE1,S101,MINNGS,ELC,2026,0.0,2026,MINNGS
1197806,RE1,S101,MINNGS,ELC,2027,0.0,2027,MINNGS
1197807,RE1,S101,MINNGS,ELC,2028,0.0,2028,MINNGS
1197808,RE1,S101,MINNGS,ELC,2029,0.0,2029,MINNGS
1197809,RE1,S101,MINNGS,ELC,2030,0.0,2030,MINNGS
1197810,RE1,S101,MINNGS,ELC,2031,0.0,2031,MINNGS
1197811,RE1,S101,MINNGS,ELC,2032,0.0,2032,MINNGS
1197812,RE1,S101,MINNGS,ELC,2033,0.0,2033,MINNGS
1197813,RE1,S101,MINNGS,ELC,2034,0.0,2034,MINNGS
1197814,RE1,S101,MINNGS,ELC,2035,0.0,2035,MINNGS
1197815,RE1,S101,MINNGS,ELC,2036,0.0,2036,MINNGS
1197816,RE1,S101,MINNGS,ELC,2037,0.0,2037,MINNGS
1197817,RE1,S101,MINNGS,ELC,2038,0.0,2038,MINNGS
1197818,RE1,S101,MINNGS,ELC,2039,0.0,2039,MINNGS
1197819,RE1,S101,MINNGS,ELC,2040,0.0,2040,MINNGS
1197820,RE1,S101,MINNGS,ELC,2041,0.0,2041,MINNGS
1197821,RE1,S101,MINNGS,ELC,2042,0.0,2042,MINNGS
1197822,RE1,S101,MINNGS,ELC,2043,0.0,2043,MINNGS
1197823,RE1,S101,MINNGS,ELC,2044,0.0,2044,MINNGS
1197824,RE1,S101,MINNGS,ELC,2045,0.0,2045,MINNGS
1197825,RE1,S101,MINNGS,ELC,2046,0.0,2046,MINNGS
1197826,RE1,S101,MINNGS,ELC,2047,0.0,2047,MINNGS
1197827,RE1,S101,MINNGS,ELC,2048,0.0,2048,MINNGS
1197828,RE1,S101,MINNGS,ELC,2049,0.0,2049,MINNGS
1197829,RE1,S101,MINNGS,ELC,2050,0.0,2050,MINNGS
1197830,RE1,S101,MINNGS,ELC,2051,0.0,2051,MINNGS
1197831,RE1,S101,MINNGS,ELC,2052,0.0,2052,MINNGS
1197832,RE1,S101,MINNGS,ELC,2053,0.0,2053,MINNGS
1197833,RE1,S101,MINNGS,ELC,2054,0.0,2054,MINNGS
1197834,RE1,S101,MINNGS,ELC002,2022,0.0,2022,MINNGS
1197835,RE1,S101,MINNGS,ELC002,2023,0.0,2023,MINNGS
1197836,RE1,S101,MINNGS,ELC002,2024,0.0,2024,MINNGS
1197837,RE1,S101,MINNGS,ELC002,2025,0.0,2025,MINNGS
1197838,RE1,S101,MINNGS,ELC002,2026,0.0,2026,MINNGS
1197839,RE1,S101,MINNGS,ELC002,2027,0.0,2027,MINNGS
1197840,RE1,S101,MINNGS,ELC002,2028,0.0,2028,MINNGS
1197841,RE1,S101,MINNGS,ELC002,2029,0.0,2029,MINNGS
1197842,RE1,S101,MINNGS,ELC002,2030,0.0,2030,MINNGS
1197843,RE1,S101,MINNGS,ELC002,2031,0.0,2031,MINNGS
1197844,RE1,S101,MINNGS,ELC002,2032,0.0,2032,MINNGS
1197845,RE1,S101,MINNGS,ELC002,2033,0.0,2033,MINNGS
1197846,RE1,S101,MINNGS,ELC002,2034,0.0,2034,MINNGS
1197847,RE1,S101,MINNGS,ELC002,2035,0.0,2035,MINNGS
1197848,RE1,S101,MINNGS,ELC002,2036,0.0,2036,MINNGS
1197849,RE1,S101,MINNGS,ELC002,2037,0.0,2037,MINNGS
1197850,RE1,S101,MINNGS,ELC002,2038,0.0,2038,MINNGS
1197851,RE1,S101,MINNGS,ELC002,2039,0.0,2039,MINNGS
1197852,RE1,S101,MINNGS,ELC002,2040,0.0,2040,MINNGS
1197853,RE1,S101,MINNGS,ELC002,2041,0.0,2041,MINNGS
1197854,RE1,S101,MINNGS,ELC002,2042,0.0,2042,MINNGS
1197855,RE1,S101,MINNGS,ELC002,2043,0.0,2043,MINNGS
1197856,RE1,S101,MINNGS,ELC002,2044,0.0,2044,MINNGS
1197857,RE1,S101,MINNGS,ELC002,2045,0.0,2045,MINNGS
1197858,RE1,S101,MINNGS,ELC002,2046,0.0,2046,MINNGS
1197859,RE1,S101,MINNGS,ELC002,2047,0.0,2047,MINNGS
1197860,RE1,S101,MINNGS,ELC002,2048,0.0,2048,MINNGS
1197861,RE1,S101,MINNGS,ELC002,2049,0.0,2049,MINNGS
1197862,RE1,S101,MINNGS,ELC002,2050,0.0,2050,MINNGS
1197863,RE1,S101,MINNGS,ELC002,2051,0.0,2051,MINNGS
1197864,RE1,S101,MINNGS,ELC002,2052,0.0,2052,MINNGS
1197865,RE1,S101,MINNGS,ELC002,2053,0.0,2053,MINNGS
1197866,RE1,S101,MINNGS,ELC002,2054,0.0,2054,MINNGS
1197867,RE1,S101,MINNGS,AGFHEA,2022,0.0,2022,MINNGS
1197868,RE1,S101,MINNGS,AGFHEA,2023,0.0,2023,MINNGS
1197869,RE1,S101,MINNGS,AGFHEA,2024,0.0,2024,MINNGS
1197870,RE1,S101,MINNGS,AGFHEA,2025,0.0,2025,MINNGS
1197871,RE1,S101,MINNGS,AGFHEA,2026,0.0,2026,MINNGS
1197872,RE1,S101,MINNGS,AGFHEA,2027,0.0,2027,MINNGS
1197873,RE1,S101,MINNGS,AGFHEA,2028,0.0,2028,MINNGS
1197874,RE1,S101,MINNGS,AGFHEA,2029,0.0,2029,MINNGS
1197875,RE1,S101,MINNGS,AGFHEA,2030,0.0,2030,MINNGS
1197876,RE1,S101,MINNGS,AGFHEA,2031,0.0,2031,MINNGS
1197877,RE1,S101,MINNGS,AGFHEA,2032,0.0,2032,MINNGS
1197878,RE1,S101,MINNGS,AGFHEA,2033,0.0,2033,MINNGS
1197879,RE1,S101,MINNGS,AGFHEA,2034,0.0,2034,MINNGS
1197880,RE1,S101,MINNGS,AGFHEA,2035,0.0,2035,MINNGS
1197881,RE1,S101,MINNGS,AGFHEA,2036,0.0,2036,MINNGS
1197882,RE1,S101,MINNGS,AGFHEA,2037,0.0,2037,MINNGS
1197883,RE1,S101,MINNGS,AGFHEA,2038,0.0,2038,MINNGS
1197884,RE1,S101,MINNGS,AGFHEA,2039,0.0,2039,MINNGS
1197885,RE1,S101,MINNGS,AGFHEA,2040,0.0,2040,MINNGS
1197886,RE1,S101,MINNGS,AGFHEA,2041,0.0,2041,MINNGS
1197887,RE1,S101,MINNGS,AGFHEA,2042,0.0,2042,MINNGS
1197888,RE1,S101,MINNGS,AGFHEA,2043,0.0,2043,MINNGS
1197889,RE1,S101,MINNGS,AGFHEA,2044,0.0,2044,MINNGS
1197890,RE1,S101,MINNGS,AGFHEA,2045,0.0,2045,MINNGS
1197891,RE1,S101,MINNGS,AGFHEA,2046,0.0,2046,MINNGS
1197892,RE1,S101,MINNGS,AGFHEA,2047,0.0,2047,MINNGS
1197893,RE1,S101,MINNGS,AGFHEA,2048,0.0,2048,MINNGS
1197894,RE1,S101,MINNGS,AGFHEA,2049,0.0,2049,MINNGS
1197895,RE1,S101,MINNGS,AGFHEA,2050,0.0,2050,MINNGS
1197896,RE1,S101,MINNGS,AGFHEA,2051,0.0,2051,MINNGS
1197897,RE1,S101,MINNGS,AGFHEA,2052,0.0,2052,MINNGS
1197898,RE1,S101,MINNGS,AGFHEA,2053,0.0,2053,MINNGS
1197899,RE1,S101,MINNGS,AGFHEA,2054,0.0,2054,MINNGS
1197900,RE1,S101,MINNGS,AGFELC,2022,0.0,2022,MINNGS
1197901,RE1,S101,MINNGS,AGFELC,2023,0.0,2023,MINNGS
1197902,RE1,S101,MINNGS,AGFELC,2024,0.0,2024,MINNGS
1197903,RE1,S101,MINNGS,AGFELC,2025,0.0,2025,MINNGS
1197904,RE1,S101,MINNGS,AGFELC,2026,0.0,2026,MINNGS
1197905,RE1,S101,MINNGS,AGFELC,2027,0.0,2027,MINNGS
1197906,RE1,S101,MINNGS,AGFELC,2028,0.0,2028,MINNGS
1197907,RE1,S101,MINNGS,AGFELC,2029,0.0,2029,MINNGS
1197908,RE1,S101,MINNGS,AGFELC,2030,0.0,2030,MINNGS
1197909,RE1,S101,MINNGS,AGFELC,2031,0.0,2031,MINNGS
1197910,RE1,S101,MINNGS,AGFELC,2032,0.0,2032,MINNGS
1197911,RE1,S101,MINNGS,AGFELC,2033,0.0,2033,MINNGS
1197912,RE1,S101,MINNGS,AGFELC,2034,0.0,2034,MINNGS
1197913,RE1,S101,MINNGS,AGFELC,2035,0.0,2035,MINNGS
1197914,RE1,S101,MINNGS,AGFELC,2036,0.0,2036,MINNGS
1197915,RE1,S101,MINNGS,AGFELC,2037,0.0,2037,MINNGS
1197916,RE1,S101,MINNGS,AGFELC,2038,0.0,2038,MINNGS
1197917,RE1,S101,MINNGS,AGFELC,2039,0.0,2039,MINNGS
1197918,RE1,S101,MINNGS,AGFELC,2040,0.0,2040,MINNGS
1197919,RE1,S101,MINNGS,AGFELC,2041,0.0,2041,MINNGS
1197920,RE1,S101,MINNGS,AGFELC,2042,0.0,2042,MINNGS
1197921,RE1,S101,MINNGS,AGFELC,2043,0.0,2043,MINNGS
1197922,RE1,S101,MINNGS,AGFELC,2044,0.0,2044,MINNGS
1197923,RE1,S101,MINNGS,AGFELC,2045,0.0,2045,MINNGS
1197924,RE1,S101,MINNGS,AGFELC,2046,0.0,2046,MINNGS
1197925,RE1,S101,MINNGS,AGFELC,2047,0.0,2047,MINNGS
1197926,RE1,S101,MINNGS,AGFELC,2048,0.0,2048,MINNGS
1197927,RE1,S101,MINNGS,AGFELC,2049,0.0,2049,MINNGS
1197928,RE1,S101,MINNGS,AGFELC,2050,0.0,2050,MINNGS
1197929,RE1,S101,MINNGS,AGFELC,2051,0.0,2051,MINNGS
1197930,RE1,S101,MINNGS,AGFELC,2052,0.0,2052,MINNGS
1197931,RE1,S101,MINNGS,AGFELC,2053,0.0,2053,MINNGS
1197932,RE1,S101,MINNGS,AGFELC,2054,0.0,2054,MINNGS
1197933,RE1,S101,MINNGS,CONSDSL,2022,0.0,2022,MINNGS
1197934,RE1,S101,MINNGS,CONSDSL,2023,0.0,2023,MINNGS
1197935,RE1,S101,MINNGS,CONSDSL,2024,0.0,2024,MINNGS
1197936,RE1,S101,MINNGS,CONSDSL,2025,0.0,2025,MINNGS
1197937,RE1,S101,MINNGS,CONSDSL,2026,0.0,2026,MINNGS
1197938,RE1,S101,MINNGS,CONSDSL,2027,0.0,2027,MINNGS
1197939,RE1,S101,MINNGS,CONSDSL,2028,0.0,2028,MINNGS
1197940,RE1,S101,MINNGS,CONSDSL,2029,0.0,2029,MINNGS
1197941,RE1,S101,MINNGS,CONSDSL,2030,0.0,2030,MINNGS
1197942,RE1,S101,MINNGS,CONSDSL,2031,0.0,2031,MINNGS
1197943,RE1,S101,MINNGS,CONSDSL,2032,0.0,2032,MINNGS
1197944,RE1,S101,MINNGS,CONSDSL,2033,0.0,2033,MINNGS
1197945,RE1,S101,MINNGS,CONSDSL,2034,0.0,2034,MINNGS
1197946,RE1,S101,MINNGS,CONSDSL,2035,0.0,2035,MINNGS
1197947,RE1,S101,MINNGS,CONSDSL,2036,0.0,2036,MINNGS
1197948,RE1,S101,MINNGS,CONSDSL,2037,0.0,2037,MINNGS
1197949,RE1,S101,MINNGS,CONSDSL,2038,0.0,2038,MINNGS
1197950,RE1,S101,MINNGS,CONSDSL,2039,0.0,2039,MINNGS
1197951,RE1,S101,MINNGS,CONSDSL,2040,0.0,2040,MINNGS
1197952,RE1,S101,MINNGS,CONSDSL,2041,0.0,2041,MINNGS
1197953,RE1,S101,MINNGS,CONSDSL,2042,0.0,2042,MINNGS
1197954,RE1,S101,MINNGS,CONSDSL,2043,0.0,2043,MINNGS
1197955,RE1,S101,MINNGS,CONSDSL,2044,0.0,2044,MINNGS
1197956,RE1,S101,MINNGS,CONSDSL,2045,0.0,2045,MINNGS
1197957,RE1,S101,MINNGS,CONSDSL,2046,0.0,2046,MINNGS
1197958,RE1,S101,MINNGS,CONSDSL,2047,0.0,2047,MINNGS
1197959,RE1,S101,MINNGS,CONSDSL,2048,0.0,2048,MINNGS
1197960,RE1,S101,MINNGS,CONSDSL,2049,0.0,2049,MINNGS
1197961,RE1,S101,MINNGS,CONSDSL,2050,0.0,2050,MINNGS
1197962,RE1,S101,MINNGS,CONSDSL,2051,0.0,2051,MINNGS
1197963,RE1,S101,MINNGS,CONSDSL,2052,0.0,2052,MINNGS
1197964,RE1,S101,MINNGS,CONSDSL,2053,0.0,2053,MINNGS
1197965,RE1,S101,MINNGS,CONSDSL,2054,0.0,2054,MINNGS
1197966,RE1,S101,MINNGS,CONSELC,2022,0.0,2022,MINNGS
1197967,RE1,S101,MINNGS,CONSELC,2023,0.0,2023,MINNGS
1197968,RE1,S101,MINNGS,CONSELC,2024,0.0,2024,MINNGS
1197969,RE1,S101,MINNGS,CONSELC,2025,0.0,2025,MINNGS
1197970,RE1,S101,MINNGS,CONSELC,2026,0.0,2026,MINNGS
1197971,RE1,S101,MINNGS,CONSELC,2027,0.0,2027,MINNGS
1197972,RE1,S101,MINNGS,CONSELC,2028,0.0,2028,MINNGS
1197973,RE1,S101,MINNGS,CONSELC,2029,0.0,2029,MINNGS
1197974,RE1,S101,MINNGS,CONSELC,2030,0.0,2030,MINNGS
1197975,RE1,S101,MINNGS,CONSELC,2031,0.0,2031,MINNGS
1197976,RE1,S101,MINNGS,CONSELC,2032,0.0,2032,MINNGS
1197977,RE1,S101,MINNGS,CONSELC,2033,0.0,2033,MINNGS
1197978,RE1,S101,MINNGS,CONSELC,2034,0.0,2034,MINNGS
1197979,RE1,S101,MINNGS,CONSELC,2035,0.0,2035,MINNGS
1197980,RE1,S101,MINNGS,CONSELC,2036,0.0,2036,MINNGS
1197981,RE1,S101,MINNGS,CONSELC,2037,0.0,2037,MINNGS
1197982,RE1,S101,MINNGS,CONSELC,2038,0.0,2038,MINNGS
1197983,RE1,S101,MINNGS,CONSELC,2039,0.0,2039,MINNGS
1197984,RE1,S101,MINNGS,CONSELC,2040,0.0,2040,MINNGS
1197985,RE1,S101,MINNGS,CONSELC,2041,0.0,2041,MINNGS
1197986,RE1,S101,MINNGS,CONSELC,2042,0.0,2042,MINNGS
1197987,RE1,S101,MINNGS,CONSELC,2043,0.0,2043,MINNGS
1197988,RE1,S101,MINNGS,CONSELC,2044,0.0,2044,MINNGS
1197989,RE1,S101,MINNGS,CONSELC,2045,0.0,2045,MINNGS
1197990,RE1,S101,MINNGS,CONSELC,2046,0.0,2046,MINNGS
1197991,RE1,S101,MINNGS,CONSELC,2047,0.0,2047,MINNGS
1197992,RE1,S101,MINNGS,CONSELC,2048,0.0,2048,MINNGS
1197993,RE1,S101,MINNGS,CONSELC,2049,0.0,2049,MINNGS
1197994,RE1,S101,MINNGS,CONSELC,2050,0.0,2050,MINNGS
1197995,RE1,S101,MINNGS,CONSELC,2051,0.0,2051,MINNGS
1197996,RE1,S101,MINNGS,CONSELC,2052,0.0,2052,MINNGS
1197997,RE1,S101,MINNGS,CONSELC,2053,0.0,2053,MINNGS
1197998,RE1,S101,MINNGS,CONSELC,2054,0.0,2054,MINNGS
1197999,RE1,S101,MINNGS,CONSNGS,2022,0.0,2022,MINNGS
1198000,RE1,S101,MINNGS,CONSNGS,2023,0.0,2023,MINNGS
1198001,RE1,S101,MINNGS,CONSNGS,2024,0.0,2024,MINNGS
1198002,RE1,S101,MINNGS,CONSNGS,2025,0.0,2025,MINNGS
1198003,RE1,S101,MINNGS,CONSNGS,2026,0.0,2026,MINNGS
1198004,RE1,S101,MINNGS,CONSNGS,2027,0.0,2027,MINNGS
1198005,RE1,S101,MINNGS,CONSNGS,2028,0.0,2028,MINNGS
1198006,RE1,S101,MINNGS,CONSNGS,2029,0.0,2029,MINNGS
1198007,RE1,S101,MINNGS,CONSNGS,2030,0.0,2030,MINNGS
1198008,RE1,S101,MINNGS,CONSNGS,2031,0.0,2031,MINNGS
1198009,RE1,S101,MINNGS,CONSNGS,2032,0.0,2032,MINNGS
1198010,RE1,S101,MINNGS,CONSNGS,2033,0.0,2033,MINNGS
1198011,RE1,S101,MINNGS,CONSNGS,2034,0.0,2034,MINNGS
1198012,RE1,S101,MINNGS,CONSNGS,2035,0.0,2035,MINNGS
1198013,RE1,S101,MINNGS,CONSNGS,2036,0.0,2036,MINNGS
1198014,RE1,S101,MINNGS,CONSNGS,2037,0.0,2037,MINNGS
1198015,RE1,S101,MINNGS,CONSNGS,2038,0.0,2038,MINNGS
1198016,RE1,S101,MINNGS,CONSNGS,2039,0.0,2039,MINNGS
1198017,RE1,S101,MINNGS,CONSNGS,2040,0.0,2040,MINNGS
1198018,RE1,S101,MINNGS,CONSNGS,2041,0.0,2041,MINNGS
1198019,RE1,S101,MINNGS,CONSNGS,2042,0.0,2042,MINNGS
1198020,RE1,S101,MINNGS,CONSNGS,2043,0.0,2043,MINNGS
1198021,RE1,S101,MINNGS,CONSNGS,2044,0.0,2044,MINNGS
1198022,RE1,S101,MINNGS,CONSNGS,2045,0.0,2045,MINNGS
1198023,RE1,S101,MINNGS,CONSNGS,2046,0.0,2046,MINNGS
1198024,RE1,S101,MINNGS,CONSNGS,2047,0.0,2047,MINNGS
1198025,RE1,S101,MINNGS,CONSNGS,2048,0.0,2048,MINNGS
1198026,RE1,S101,MINNGS,CONSNGS,2049,0.0,2049,MINNGS
1198027,RE1,S101,MINNGS,CONSNGS,2050,0.0,2050,MINNGS
1198028,RE1,S101,MINNGS,CONSNGS,2051,0.0,2051,MINNGS
1198029,RE1,S101,MINNGS,CONSNGS,2052,0.0,2052,MINNGS
1198030,RE1,S101,MINNGS,CONSNGS,2053,0.0,2053,MINNGS
1198031,RE1,S101,MINNGS,CONSNGS,2054,0.0,2054,MINNGS
1198032,RE1,S101,MINNGS,COQDSL,2022,0.0,2022,MINNGS
1198033,RE1,S101,MINNGS,COQDSL,2023,0.0,2023,MINNGS
1198034,RE1,S101,MINNGS,COQDSL,2024,0.0,2024,MINNGS
1198035,RE1,S101,MINNGS,COQDSL,2025,0.0,2025,MINNGS
1198036,RE1,S101,MINNGS,COQDSL,2026,0.0,2026,MINNGS
1198037,RE1,S101,MINNGS,COQDSL,2027,0.0,2027,MINNGS
1198038,RE1,S101,MINNGS,COQDSL,2028,0.0,2028,MINNGS
1198039,RE1,S101,MINNGS,COQDSL,2029,0.0,2029,MINNGS
1198040,RE1,S101,MINNGS,COQDSL,2030,0.0,2030,MINNGS
1198041,RE1,S101,MINNGS,COQDSL,2031,0.0,2031,MINNGS
1198042,RE1,S101,MINNGS,COQDSL,2032,0.0,2032,MINNGS
1198043,RE1,S101,MINNGS,COQDSL,2033,0.0,2033,MINNGS
1198044,RE1,S101,MINNGS,COQDSL,2034,0.0,2034,MINNGS
1198045,RE1,S101,MINNGS,COQDSL,2035,0.0,2035,MINNGS
1198046,RE1,S101,MINNGS,COQDSL,2036,0.0,2036,MINNGS
1198047,RE1,S101,MINNGS,COQDSL,2037,0.0,2037,MINNGS
1198048,RE1,S101,MINNGS,COQDSL,2038,0.0,2038,MINNGS
1198049,RE1,S101,MINNGS,COQDSL,2039,0.0,2039,MINNGS
1198050,RE1,S101,MINNGS,COQDSL,2040,0.0,2040,MINNGS
1198051,RE1,S101,MINNGS,COQDSL,2041,0.0,2041,MINNGS
1198052,RE1,S101,MINNGS,COQDSL,2042,0.0,2042,MINNGS
1198053,RE1,S101,MINNGS,COQDSL,2043,0.0,2043,MINNGS
1198054,RE1,S101,MINNGS,COQDSL,2044,0.0,2044,MINNGS
1198055,RE1,S101,MINNGS,COQDSL,2045,0.0,2045,MINNGS
1198056,RE1,S101,MINNGS,COQDSL,2046,0.0,2046,MINNGS
