,REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE,TIME,COLOR
1143846,RE1,S101,IMPDSL,ELC,2022,0.0,2022,IMPDSL
1143847,RE1,S101,IMPDSL,ELC,2023,0.0,2023,IMPDSL
1143848,RE1,S101,IMPDSL,ELC,2024,0.0,2024,IMPDSL
1143849,RE1,S101,IMPDSL,ELC,2025,0.0,2025,IMPDSL
1143850,RE1,S101,IMPDSL,ELC,2026,0.0,2026,IMPDSL
1143851,RE1,S101,IMPDSL,ELC,2027,0.0,2027,IMPDSL
1143852,RE1,S101,IMPDSL,ELC,2028,0.0,2028,IMPDSL
1143853,RE1,S101,IMPDSL,ELC,2029,0.0,2029,IMPDSL
1143854,RE1,S101,IMPDSL,ELC,2030,0.0,2030,IMPDSL
1143855,RE1,S101,IMPDSL,ELC,2031,0.0,2031,IMPDSL
1143856,RE1,S101,IMPDSL,ELC,2032,0.0,2032,IMPDSL
1143857,RE1,S101,IMPDSL,ELC,2033,0.0,2033,IMPDSL
1143858,RE1,S101,IMPDSL,ELC,2034,0.0,2034,IMPDSL
1143859,RE1,S101,IMPDSL,ELC,2035,0.0,2035,IMPDSL
1143860,RE1,S101,IMPDSL,ELC,2036,0.0,2036,IMPDSL
1143861,RE1,S101,IMPDSL,ELC,2037,0.0,2037,IMPDSL
1143862,RE1,S101,IMPDSL,ELC,2038,0.0,2038,IMPDSL
1143863,RE1,S101,IMPDSL,ELC,2039,0.0,2039,IMPDSL
1143864,RE1,S101,IMPDSL,ELC,2040,0.0,2040,IMPDSL
1143865,RE1,S101,IMPDSL,ELC,2041,0.0,2041,IMPDSL
1143866,RE1,S101,IMPDSL,ELC,2042,0.0,2042,IMPDSL
1143867,RE1,S101,IMPDSL,ELC,2043,0.0,2043,IMPDSL
1143868,RE1,S101,IMPDSL,ELC,2044,0.0,2044,IMPDSL
1143869,RE1,S101,IMPDSL,ELC,2045,0.0,2045,IMPDSL
1143870,RE1,S101,IMPDSL,ELC,2046,0.0,2046,IMPDSL
1143871,RE1,S101,IMPDSL,ELC,2047,0.0,2047,IMPDSL
1143872,RE1,S101,IMPDSL,ELC,2048,0.0,2048,IMPDSL
1143873,RE1,S101,IMPDSL,ELC,2049,0.0,2049,IMPDSL
1143874,RE1,S101,IMPDSL,ELC,2050,0.0,2050,IMPDSL
1143875,RE1,S101,IMPDSL,ELC,2051,0.0,2051,IMPDSL
1143876,RE1,S101,IMPDSL,ELC,2052,0.0,2052,IMPDSL
1143877,RE1,S101,IMPDSL,ELC,2053,0.0,2053,IMPDSL
1143878,RE1,S101,IMPDSL,ELC,2054,0.0,2054,IMPDSL
1143879,RE1,S101,IMPDSL,ELC002,2022,0.0,2022,IMPDSL
1143880,RE1,S101,IMPDSL,ELC002,2023,0.0,2023,IMPDSL
1143881,RE1,S101,IMPDSL,ELC002,2024,0.0,2024,IMPDSL
1143882,RE1,S101,IMPDSL,ELC002,2025,0.0,2025,IMPDSL
1143883,RE1,S101,IMPDSL,ELC002,2026,0.0,2026,IMPDSL
1143884,RE1,S101,IMPDSL,ELC002,2027,0.0,2027,IMPDSL
1143885,RE1,S101,IMPDSL,ELC002,2028,0.0,2028,IMPDSL
1143886,RE1,S101,IMPDSL,ELC002,2029,0.0,2029,IMPDSL
1143887,RE1,S101,IMPDSL,ELC002,2030,0.0,2030,IMPDSL
1143888,RE1,S101,IMPDSL,ELC002,2031,0.0,2031,IMPDSL
1143889,RE1,S101,IMPDSL,ELC002,2032,0.0,2032,IMPDSL
1143890,RE1,S101,IMPDSL,ELC002,2033,0.0,2033,IMPDSL
1143891,RE1,S101,IMPDSL,ELC002,2034,0.0,2034,IMPDSL
1143892,RE1,S101,IMPDSL,ELC002,2035,0.0,2035,IMPDSL
1143893,RE1,S101,IMPDSL,ELC002,2036,0.0,2036,IMPDSL
1143894,RE1,S101,IMPDSL,ELC002,2037,0.0,2037,IMPDSL
1143895,RE1,S101,IMPDSL,ELC002,2038,0.0,2038,IMPDSL
1143896,RE1,S101,IMPDSL,ELC002,2039,0.0,2039,IMPDSL
1143897,RE1,S101,IMPDSL,ELC002,2040,0.0,2040,IMPDSL
1143898,RE1,S101,IMPDSL,ELC002,2041,0.0,2041,IMPDSL
1143899,RE1,S101,IMPDSL,ELC002,2042,0.0,2042,IMPDSL
1143900,RE1,S101,IMPDSL,ELC002,2043,0.0,2043,IMPDSL
1143901,RE1,S101,IMPDSL,ELC002,2044,0.0,2044,IMPDSL
1143902,RE1,S101,IMPDSL,ELC002,2045,0.0,2045,IMPDSL
1143903,RE1,S101,IMPDSL,ELC002,2046,0.0,2046,IMPDSL
1143904,RE1,S101,IMPDSL,ELC002,2047,0.0,2047,IMPDSL
1143905,RE1,S101,IMPDSL,ELC002,2048,0.0,2048,IMPDSL
1143906,RE1,S101,IMPDSL,ELC002,2049,0.0,2049,IMPDSL
1143907,RE1,S101,IMPDSL,ELC002,2050,0.0,2050,IMPDSL
1143908,RE1,S101,IMPDSL,ELC002,2051,0.0,2051,IMPDSL
1143909,RE1,S101,IMPDSL,ELC002,2052,0.0,2052,IMPDSL
1143910,RE1,S101,IMPDSL,ELC002,2053,0.0,2053,IMPDSL
1143911,RE1,S101,IMPDSL,ELC002,2054,0.0,2054,IMPDSL
1143912,RE1,S101,IMPDSL,AGFHEA,2022,0.0,2022,IMPDSL
1143913,RE1,S101,IMPDSL,AGFHEA,2023,0.0,2023,IMPDSL
1143914,RE1,S101,IMPDSL,AGFHEA,2024,0.0,2024,IMPDSL
1143915,RE1,S101,IMPDSL,AGFHEA,2025,0.0,2025,IMPDSL
1143916,RE1,S101,IMPDSL,AGFHEA,2026,0.0,2026,IMPDSL
1143917,RE1,S101,IMPDSL,AGFHEA,2027,0.0,2027,IMPDSL
1143918,RE1,S101,IMPDSL,AGFHEA,2028,0.0,2028,IMPDSL
1143919,RE1,S101,IMPDSL,AGFHEA,2029,0.0,2029,IMPDSL
1143920,RE1,S101,IMPDSL,AGFHEA,2030,0.0,2030,IMPDSL
1143921,RE1,S101,IMPDSL,AGFHEA,2031,0.0,2031,IMPDSL
1143922,RE1,S101,IMPDSL,AGFHEA,2032,0.0,2032,IMPDSL
1143923,RE1,S101,IMPDSL,AGFHEA,2033,0.0,2033,IMPDSL
1143924,RE1,S101,IMPDSL,AGFHEA,2034,0.0,2034,IMPDSL
1143925,RE1,S101,IMPDSL,AGFHEA,2035,0.0,2035,IMPDSL
1143926,RE1,S101,IMPDSL,AGFHEA,2036,0.0,2036,IMPDSL
1143927,RE1,S101,IMPDSL,AGFHEA,2037,0.0,2037,IMPDSL
1143928,RE1,S101,IMPDSL,AGFHEA,2038,0.0,2038,IMPDSL
1143929,RE1,S101,IMPDSL,AGFHEA,2039,0.0,2039,IMPDSL
1143930,RE1,S101,IMPDSL,AGFHEA,2040,0.0,2040,IMPDSL
1143931,RE1,S101,IMPDSL,AGFHEA,2041,0.0,2041,IMPDSL
1143932,RE1,S101,IMPDSL,AGFHEA,2042,0.0,2042,IMPDSL
1143933,RE1,S101,IMPDSL,AGFHEA,2043,0.0,2043,IMPDSL
1143934,RE1,S101,IMPDSL,AGFHEA,2044,0.0,2044,IMPDSL
1143935,RE1,S101,IMPDSL,AGFHEA,2045,0.0,2045,IMPDSL
1143936,RE1,S101,IMPDSL,AGFHEA,2046,0.0,2046,IMPDSL
1143937,RE1,S101,IMPDSL,AGFHEA,2047,0.0,2047,IMPDSL
1143938,RE1,S101,IMPDSL,AGFHEA,2048,0.0,2048,IMPDSL
1143939,RE1,S101,IMPDSL,AGFHEA,2049,0.0,2049,IMPDSL
1143940,RE1,S101,IMPDSL,AGFHEA,2050,0.0,2050,IMPDSL
1143941,RE1,S101,IMPDSL,AGFHEA,2051,0.0,2051,IMPDSL
1143942,RE1,S101,IMPDSL,AGFHEA,2052,0.0,2052,IMPDSL
1143943,RE1,S101,IMPDSL,AGFHEA,2053,0.0,2053,IMPDSL
1143944,RE1,S101,IMPDSL,AGFHEA,2054,0.0,2054,IMPDSL
1143945,RE1,S101,IMPDSL,AGFELC,2022,0.0,2022,IMPDSL
1143946,RE1,S101,IMPDSL,AGFELC,2023,0.0,2023,IMPDSL
1143947,RE1,S101,IMPDSL,AGFELC,2024,0.0,2024,IMPDSL
1143948,RE1,S101,IMPDSL,AGFELC,2025,0.0,2025,IMPDSL
1143949,RE1,S101,IMPDSL,AGFELC,2026,0.0,2026,IMPDSL
1143950,RE1,S101,IMPDSL,AGFELC,2027,0.0,2027,IMPDSL
1143951,RE1,S101,IMPDSL,AGFELC,2028,0.0,2028,IMPDSL
1143952,RE1,S101,IMPDSL,AGFELC,2029,0.0,2029,IMPDSL
1143953,RE1,S101,IMPDSL,AGFELC,2030,0.0,2030,IMPDSL
1143954,RE1,S101,IMPDSL,AGFELC,2031,0.0,2031,IMPDSL
1143955,RE1,S101,IMPDSL,AGFELC,2032,0.0,2032,IMPDSL
1143956,RE1,S101,IMPDSL,AGFELC,2033,0.0,2033,IMPDSL
1143957,RE1,S101,IMPDSL,AGFELC,2034,0.0,2034,IMPDSL
