,COLOR,TIME,VALUE
66,BGS,2022,0.0
67,BGS,2023,0.0
68,BGS,2024,0.0
69,BGS,2025,0.3345431544380763
70,BGS,2026,0.6690863088761544
71,BGS,2027,1.0036294633142306
72,BGS,2028,1.338172617752307
73,BGS,2029,1.6727157721903834
74,BGS,2030,2.007258926628454
75,BGS,2031,2.341802081066545
76,BGS,2032,2.6763452355046176
77,BGS,2033,3.01088838994269
78,BGS,2034,3.345431544380763
79,BGS,2035,3.679974698818854
80,BGS,2036,4.014517853256927
81,BGS,2037,4.349061007694999
82,BGS,2038,4.683604162133072
83,BGS,2039,5.018147316571144
84,BGS,2040,5.018147316571144
85,BGS,2041,5.018147316571162
86,BGS,2042,5.018147316571144
87,BGS,2043,5.018147316571144
88,BGS,2044,5.018147316571144
89,BGS,2045,5.018147316571144
90,BGS,2046,5.018147316571144
91,BGS,2047,5.018147316571162
92,BGS,2048,5.018147316571144
93,BGS,2049,5.018147316571144
94,BGS,2050,5.018147316571144
95,BGS,2051,5.018147316571144
96,BGS,2052,5.018147316571144
97,BGS,2053,5.018147316571144
98,BGS,2054,5.018147316571144
165,ELC,2022,5.458805347313269
166,ELC,2023,5.866204606806463
167,ELC,2024,6.223825300637317
168,ELC,2025,8.31824513794794
169,ELC,2026,11.092120129083877
170,ELC,2027,13.482529617077939
171,ELC,2028,15.218205709516935
172,ELC,2029,16.65068942409364
173,ELC,2030,18.348455227747717
174,ELC,2031,20.020920719670347
175,ELC,2032,21.579375402451735
176,ELC,2033,23.050697835826043
177,ELC,2034,23.150842413919243
178,ELC,2035,23.254023438575953
179,ELC,2036,23.36073034732962
180,ELC,2037,23.464002723774705
181,ELC,2038,23.562693277989837
182,ELC,2039,23.656642706944133
183,ELC,2040,23.744010321162147
184,ELC,2041,23.821297397159555
185,ELC,2042,23.886069655256478
186,ELC,2043,23.935712414418873
187,ELC,2044,23.968873779025387
188,ELC,2045,21.73370326698737
189,ELC,2046,19.502634207369898
190,ELC,2047,17.235596409257372
191,ELC,2048,13.730115410543519
192,ELC,2049,12.649415499081579
193,ELC,2050,10.637055169934028
194,ELC,2051,8.608605515650664
195,ELC,2052,6.6955859898392385
196,ELC,2053,4.885415289191738
197,ELC,2054,0.5320485661807463
264,LPG,2022,24.322209817183115
265,LPG,2023,23.870364893663417
266,LPG,2024,24.62657637029229
267,LPG,2025,28.099649604242003
268,LPG,2026,30.524493945815202
269,LPG,2027,33.52860395510663
270,LPG,2028,35.956222644228276
271,LPG,2029,38.66333528233938
272,LPG,2030,40.813021711598225
273,LPG,2031,46.764217447795986
274,LPG,2032,48.495612172852766
275,LPG,2033,50.05959420449857
276,LPG,2034,51.71016651989419
277,LPG,2035,50.9899025020828
278,LPG,2036,54.00651654778052
279,LPG,2037,55.842801155715655
280,LPG,2038,56.70625792142578
281,LPG,2039,58.35042668040337
282,LPG,2040,59.446144332881346
283,LPG,2041,59.04495592592863
284,LPG,2042,59.4690195126
285,LPG,2043,58.034330308960385
286,LPG,2044,57.90287877909557
287,LPG,2045,62.5287271948962
288,LPG,2046,64.83543311166483
289,LPG,2047,65.48121993979663
290,LPG,2048,67.59625619126554
291,LPG,2049,66.38998151106784
292,LPG,2050,66.52930562822098
293,LPG,2051,61.710364492099785
294,LPG,2052,61.03054211836444
295,LPG,2053,59.938365740475504
296,LPG,2054,60.474659669486364
297,NGS,2022,65.97616936933822
298,NGS,2023,64.56896601475533
299,NGS,2024,67.12385224311319
300,NGS,2025,68.2769211788729
301,NGS,2026,66.94325110026622
302,NGS,2027,65.55253848844083
303,NGS,2028,64.51642262091819
304,NGS,2029,63.48609175756429
305,NGS,2030,62.449150543358535
306,NGS,2031,61.660878316785485
307,NGS,2032,60.80187295992853
308,NGS,2033,60.06231850143598
309,NGS,2034,61.06961811548288
310,NGS,2035,63.726373230752316
311,NGS,2036,63.27432582533692
312,NGS,2037,63.29396070258624
313,NGS,2038,64.43254719452013
314,NGS,2039,65.0037770890977
315,NGS,2040,66.4577790522897
316,NGS,2041,70.91906994229149
317,NGS,2042,73.11428332277
318,NGS,2043,77.10936005840422
319,NGS,2044,79.79070945113085
320,NGS,2045,81.5955076473641
321,NGS,2046,84.10274136020428
322,NGS,2047,89.43458958667095
323,NGS,2048,94.76478561479504
324,NGS,2049,100.2300666812016
325,NGS,2050,105.43613500422236
326,NGS,2051,116.14154257499474
327,NGS,2052,121.17776098112283
328,NGS,2053,126.33283879518143
329,NGS,2054,131.53045299677245
363,WOO,2022,99.18589439846806
364,WOO,2023,104.30709043347228
365,WOO,2024,100.49941517823223
366,WOO,2025,74.7981989856036
367,WOO,2026,61.738993170857235
368,WOO,2027,49.406457067728034
369,WOO,2028,40.65368426863567
370,WOO,2029,31.901466889405743
371,WOO,2030,23.16953118232875
372,WOO,2031,1.658224769641666
373,WOO,2032,0.855079701376808
374,WOO,2033,0.433649187442574
375,WOO,2034,0.0
376,WOO,2035,0.0
377,WOO,2036,0.0
378,WOO,2037,0.678253339595584
379,WOO,2038,1.104
380,WOO,2039,1.38
381,WOO,2040,1.656
382,WOO,2041,0.0
383,WOO,2042,0.0
384,WOO,2043,0.0
385,WOO,2044,0.0
386,WOO,2045,0.0
387,WOO,2046,1.656
388,WOO,2047,1.656
389,WOO,2048,1.656
390,WOO,2049,1.656
391,WOO,2050,1.656
392,WOO,2051,0.0
393,WOO,2052,0.0
394,WOO,2053,0.0
395,WOO,2054,1.656
