,COLOR,TIME,VALUE
0,ELC,2022,1.4386889912092333
1,ELC,2023,1.5076255429407992
2,ELC,2024,1.5634031216177662
3,ELC,2025,1.514652414635358
4,ELC,2026,1.4196404557379685
5,ELC,2027,1.230687908577689
6,ELC,2028,0.9333034529586448
7,ELC,2029,0.5729166400912558
8,ELC,2030,0.2567324895048923
9,ELC,2031,0.0735432277631761
10,ELC,2032,0.011409978386686772
11,ELC,2033,0.0007830821743314409
12,ELC,2034,1.865189910722182e-05
13,ELC,2035,1.8744522759043774e-09
14,ELC,2036,2.1703139294532025e-12
15,ELC,2037,3.188332604683536e-16
16,ELC,2038,3.8260258478234726e-21
17,ELC,2039,1.139459056199997e-25
18,ELC,2040,3.834619356872489e-35
19,ELC,2041,9.759252237846081e-45
20,ELC,2042,1.870172116535407e-56
21,ELC,2043,1.589048161323371e-69
22,ELC,2044,6.2443873171630284e-86
23,ELC,2045,7.369328881056932e-108
24,ELC,2046,1.190018888256356e-130
25,ELC,2047,8.507355687969476e-160
26,ELC,2048,1.6830103615422478e-192
27,ELC,2049,2.0016222692911297e-230
28,ELC,2050,4.555199435274573e-273
29,ELC,2051,0.0
30,ELC,2052,0.0
31,ELC,2053,0.0
32,ELC,2054,0.0
