,REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE,TIME,COLOR,GRUPO
489192,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2022,0.0,2022,DEMRESELCREF_HIG_URB,ELC
489193,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2023,0.0,2023,DEMRESELCREF_HIG_URB,ELC
489194,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2024,0.0,2024,DEMRESELCREF_HIG_URB,ELC
489195,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2025,0.0,2025,DEMRESELCREF_HIG_URB,ELC
489196,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2026,0.0,2026,DEMRESELCREF_HIG_URB,ELC
489197,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2027,0.0,2027,DEMRESELCREF_HIG_URB,ELC
489198,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2028,0.0,2028,DEMRESELCREF_HIG_URB,ELC
489199,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2029,0.0,2029,DEMRESELCREF_HIG_URB,ELC
489200,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2030,0.0,2030,DEMRESELCREF_HIG_URB,ELC
489201,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2031,0.0,2031,DEMRESELCREF_HIG_URB,ELC
489202,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2032,0.0,2032,DEMRESELCREF_HIG_URB,ELC
489203,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2033,0.0,2033,DEMRESELCREF_HIG_URB,ELC
489204,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2034,0.0,2034,DEMRESELCREF_HIG_URB,ELC
489205,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2035,0.0,2035,DEMRESELCREF_HIG_URB,ELC
489206,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2036,0.0,2036,DEMRESELCREF_HIG_URB,ELC
489207,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2037,0.0,2037,DEMRESELCREF_HIG_URB,ELC
489208,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2038,0.0,2038,DEMRESELCREF_HIG_URB,ELC
489209,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2039,0.0,2039,DEMRESELCREF_HIG_URB,ELC
489210,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2040,0.0,2040,DEMRESELCREF_HIG_URB,ELC
489211,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2041,0.0,2041,DEMRESELCREF_HIG_URB,ELC
489212,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2042,0.0,2042,DEMRESELCREF_HIG_URB,ELC
489213,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2043,0.0,2043,DEMRESELCREF_HIG_URB,ELC
489214,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2044,0.0,2044,DEMRESELCREF_HIG_URB,ELC
489215,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2045,0.0,2045,DEMRESELCREF_HIG_URB,ELC
489216,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2046,0.0,2046,DEMRESELCREF_HIG_URB,ELC
489217,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2047,0.0,2047,DEMRESELCREF_HIG_URB,ELC
489218,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2048,0.0,2048,DEMRESELCREF_HIG_URB,ELC
489219,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2049,0.0,2049,DEMRESELCREF_HIG_URB,ELC
489220,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2050,0.0,2050,DEMRESELCREF_HIG_URB,ELC
489221,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2051,0.0,2051,DEMRESELCREF_HIG_URB,ELC
489222,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2052,0.0,2052,DEMRESELCREF_HIG_URB,ELC
489223,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2053,0.0,2053,DEMRESELCREF_HIG_URB,ELC
489224,RE1,S101,DEMRESELCREF_HIG_URB,ELC,2054,0.0,2054,DEMRESELCREF_HIG_URB,ELC
489225,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2022,0.0,2022,DEMRESELCREF_HIG_URB,ELC
489226,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2023,0.0,2023,DEMRESELCREF_HIG_URB,ELC
489227,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2024,0.0,2024,DEMRESELCREF_HIG_URB,ELC
489228,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2025,0.0,2025,DEMRESELCREF_HIG_URB,ELC
489229,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2026,0.0,2026,DEMRESELCREF_HIG_URB,ELC
489230,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2027,0.0,2027,DEMRESELCREF_HIG_URB,ELC
489231,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2028,0.0,2028,DEMRESELCREF_HIG_URB,ELC
489232,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2029,0.0,2029,DEMRESELCREF_HIG_URB,ELC
489233,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2030,0.0,2030,DEMRESELCREF_HIG_URB,ELC
489234,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2031,0.0,2031,DEMRESELCREF_HIG_URB,ELC
489235,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2032,0.0,2032,DEMRESELCREF_HIG_URB,ELC
489236,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2033,0.0,2033,DEMRESELCREF_HIG_URB,ELC
489237,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2034,0.0,2034,DEMRESELCREF_HIG_URB,ELC
489238,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2035,0.0,2035,DEMRESELCREF_HIG_URB,ELC
489239,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2036,0.0,2036,DEMRESELCREF_HIG_URB,ELC
489240,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2037,0.0,2037,DEMRESELCREF_HIG_URB,ELC
489241,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2038,0.0,2038,DEMRESELCREF_HIG_URB,ELC
489242,RE1,S101,DEMRESELCREF_HIG_URB,ELC002,2039,0.0,2039,DEMRESELCREF_HIG_URB,ELC
