,REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE,TIME,COLOR,GRUPO
507177,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2022,0.0,2022,DEMRESELCTV_CRT_RUR,ELC
507178,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2023,0.0,2023,DEMRESELCTV_CRT_RUR,ELC
507179,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2024,0.0,2024,DEMRESELCTV_CRT_RUR,ELC
507180,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2025,0.0,2025,DEMRESELCTV_CRT_RUR,ELC
507181,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2026,0.0,2026,DEMRESELCTV_CRT_RUR,ELC
507182,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2027,0.0,2027,DEMRESELCTV_CRT_RUR,ELC
507183,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2028,0.0,2028,DEMRESELCTV_CRT_RUR,ELC
507184,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2029,0.0,2029,DEMRESELCTV_CRT_RUR,ELC
507185,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2030,0.0,2030,DEMRESELCTV_CRT_RUR,ELC
507186,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2031,0.0,2031,DEMRESELCTV_CRT_RUR,ELC
507187,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2032,0.0,2032,DEMRESELCTV_CRT_RUR,ELC
507188,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2033,0.0,2033,DEMRESELCTV_CRT_RUR,ELC
507189,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2034,0.0,2034,DEMRESELCTV_CRT_RUR,ELC
507190,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2035,0.0,2035,DEMRESELCTV_CRT_RUR,ELC
507191,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2036,0.0,2036,DEMRESELCTV_CRT_RUR,ELC
507192,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2037,0.0,2037,DEMRESELCTV_CRT_RUR,ELC
507193,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2038,0.0,2038,DEMRESELCTV_CRT_RUR,ELC
507194,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2039,0.0,2039,DEMRESELCTV_CRT_RUR,ELC
507195,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2040,0.0,2040,DEMRESELCTV_CRT_RUR,ELC
507196,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2041,0.0,2041,DEMRESELCTV_CRT_RUR,ELC
507197,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2042,0.0,2042,DEMRESELCTV_CRT_RUR,ELC
507198,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2043,0.0,2043,DEMRESELCTV_CRT_RUR,ELC
507199,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2044,0.0,2044,DEMRESELCTV_CRT_RUR,ELC
507200,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2045,0.0,2045,DEMRESELCTV_CRT_RUR,ELC
507201,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2046,0.0,2046,DEMRESELCTV_CRT_RUR,ELC
507202,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2047,0.0,2047,DEMRESELCTV_CRT_RUR,ELC
507203,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2048,0.0,2048,DEMRESELCTV_CRT_RUR,ELC
507204,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2049,0.0,2049,DEMRESELCTV_CRT_RUR,ELC
507205,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2050,0.0,2050,DEMRESELCTV_CRT_RUR,ELC
507206,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2051,0.0,2051,DEMRESELCTV_CRT_RUR,ELC
507207,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2052,0.0,2052,DEMRESELCTV_CRT_RUR,ELC
507208,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2053,0.0,2053,DEMRESELCTV_CRT_RUR,ELC
507209,RE1,S101,DEMRESELCTV_CRT_RUR,ELC,2054,0.0,2054,DEMRESELCTV_CRT_RUR,ELC
507210,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2022,3.78105098251635,2022,DEMRESELCTV_CRT_RUR,ELC
507211,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2023,3.9650038908860834,2023,DEMRESELCTV_CRT_RUR,ELC
507212,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2024,3.971062261673767,2024,DEMRESELCTV_CRT_RUR,ELC
507213,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2025,2.8615219427844667,2025,DEMRESELCTV_CRT_RUR,ELC
507214,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2026,1.4608721656815487,2026,DEMRESELCTV_CRT_RUR,ELC
507215,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2027,0.32979422854215507,2027,DEMRESELCTV_CRT_RUR,ELC
507216,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2028,0.018330180519285002,2028,DEMRESELCTV_CRT_RUR,ELC
507217,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2029,0.00011091722352244035,2029,DEMRESELCTV_CRT_RUR,ELC
507218,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2030,0.0,2030,DEMRESELCTV_CRT_RUR,ELC
507219,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2031,0.0,2031,DEMRESELCTV_CRT_RUR,ELC
507220,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2032,0.0,2032,DEMRESELCTV_CRT_RUR,ELC
507221,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2033,0.0,2033,DEMRESELCTV_CRT_RUR,ELC
507222,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2034,0.0,2034,DEMRESELCTV_CRT_RUR,ELC
507223,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2035,0.0,2035,DEMRESELCTV_CRT_RUR,ELC
507224,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2036,0.0,2036,DEMRESELCTV_CRT_RUR,ELC
507225,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2037,0.0,2037,DEMRESELCTV_CRT_RUR,ELC
507226,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2038,0.0,2038,DEMRESELCTV_CRT_RUR,ELC
507227,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2039,0.0,2039,DEMRESELCTV_CRT_RUR,ELC
507228,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2040,0.0,2040,DEMRESELCTV_CRT_RUR,ELC
507229,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2041,0.0,2041,DEMRESELCTV_CRT_RUR,ELC
507230,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2042,0.0,2042,DEMRESELCTV_CRT_RUR,ELC
507231,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2043,0.0,2043,DEMRESELCTV_CRT_RUR,ELC
507232,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2044,0.0,2044,DEMRESELCTV_CRT_RUR,ELC
507233,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2045,0.0,2045,DEMRESELCTV_CRT_RUR,ELC
507234,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2046,0.0,2046,DEMRESELCTV_CRT_RUR,ELC
507235,RE1,S101,DEMRESELCTV_CRT_RUR,ELC002,2047,0.0,2047,DEMRESELCTV_CRT_RUR,ELC
