,COLOR,TIME,VALUE
99,ELC,2022,8.448745652687034
100,ELC,2023,8.723628174531871
101,ELC,2024,8.976054053033144
102,ELC,2025,7.212022104899755
103,ELC,2026,9.730759355555946
104,ELC,2027,10.118439251246143
105,ELC,2028,10.568990187314217
106,ELC,2029,11.096859340901108
107,ELC,2030,9.957041991111977
108,ELC,2031,12.315824286778449
109,ELC,2032,12.932301382397606
110,ELC,2033,13.381725907899794
111,ELC,2034,13.763651184429088
112,ELC,2035,13.48292653225922
113,ELC,2036,13.71570014335877
114,ELC,2037,13.93279841764113
115,ELC,2038,14.69293451793422
116,ELC,2039,14.892146899504088
117,ELC,2040,15.077399861683686
118,ELC,2041,13.373240473152782
119,ELC,2042,13.515943140629945
120,ELC,2043,13.682095132683305
121,ELC,2044,13.796060313496202
122,ELC,2045,14.482599624379445
123,ELC,2046,14.295330246669208
124,ELC,2047,14.013707895918882
125,ELC,2048,12.770103997773445
126,ELC,2049,12.957639633229048
127,ELC,2050,12.054699460264514
128,ELC,2051,9.988824785877279
129,ELC,2052,7.1411681005459275
130,ELC,2053,4.279994735541805
131,ELC,2054,1.4011159450551942
231,NGS,2022,2.0075737235707303
232,NGS,2023,1.9452545720092083
233,NGS,2024,1.9987101865306638
234,NGS,2025,4.1941056297340005
235,NGS,2026,1.9371561654312786
236,NGS,2027,1.8490712167874732
237,NGS,2028,1.689343880029496
238,NGS,2029,1.4400782647806958
239,NGS,2030,2.77545009606507
240,NGS,2031,0.7344737256247209
241,NGS,2032,0.39886907768080393
242,NGS,2033,0.16509548379210137
243,NGS,2034,0.047808177458487595
244,NGS,2035,0.5149124674440761
245,NGS,2036,0.5111604472413908
246,NGS,2037,0.5145871331501274
247,NGS,2038,0.0
248,NGS,2039,1.1603117604674946e-11
249,NGS,2040,0.006399343373729426
250,NGS,2041,1.7066732601240995
251,NGS,2042,1.7100814696886852
252,NGS,2043,1.708548972823822
253,NGS,2044,1.7066992965909888
254,NGS,2045,1.2196372454343936
255,NGS,2046,1.5670570532556052
256,NGS,2047,1.9955407237798068
257,NGS,2048,3.2629385068939016
258,NGS,2049,3.2608469473668924
259,NGS,2050,4.218327124883478
260,NGS,2051,6.3364203368452845
261,NGS,2052,9.253277462087398
262,NGS,2053,12.164138369090132
263,NGS,2054,15.0717671627082
