,COLOR,TIME,VALUE
0,ELC,2022,6.821346949849174
1,ELC,2023,7.160348125595823
2,ELC,2024,7.471179696978616
3,ELC,2025,7.787440276238584
4,ELC,2026,8.105875475125945
5,ELC,2027,8.387297277244066
6,ELC,2028,8.484381906233152
7,ELC,2029,8.403160731424078
8,ELC,2030,8.16482979429835
9,ELC,2031,7.836697356607054
10,ELC,2032,7.5784697298773676
11,ELC,2033,7.512036370091998
12,ELC,2034,7.661508437781864
13,ELC,2035,7.72883716262395
14,ELC,2036,7.854223202771941
15,ELC,2037,7.989476942566602
16,ELC,2038,8.121010774915955
17,ELC,2039,8.249053109917735
18,ELC,2040,8.369535524898406
19,ELC,2041,8.478482545370753
20,ELC,2042,8.573908924758626
21,ELC,2043,8.655668985231763
22,ELC,2044,8.723484052333957
23,ELC,2045,8.777471402205713
24,ELC,2046,8.816073739482452
25,ELC,2047,8.842979205910993
26,ELC,2048,8.860406608547489
27,ELC,2049,8.86916252395937
28,ELC,2050,8.8749652438322
29,ELC,2051,8.820188959916036
30,ELC,2052,8.76934937146525
31,ELC,2053,8.726393644609116
32,ELC,2054,8.693499866354895
