,COLOR,TIME,VALUE
2442,DSL,2022,23.7348541953382
2443,DSL,2023,23.5017616769615
2444,DSL,2024,23.7078637635265
2445,DSL,2025,24.2832529449892
2446,DSL,2026,24.2258084139694
2447,DSL,2027,24.1766061142917
2448,DSL,2028,24.1314770497151
2449,DSL,2029,24.0654699691411
2450,DSL,2030,23.0733192227129
2451,DSL,2031,24.0149045013262
2452,DSL,2032,23.1209786561303
2453,DSL,2033,23.1550555506877
2454,DSL,2034,23.1956638344826
2455,DSL,2035,23.2508596934529
2456,DSL,2036,23.3210517123738
2457,DSL,2037,23.0988421529128
2458,DSL,2038,23.2235582602831
2459,DSL,2039,23.3943141640479
2460,DSL,2040,23.7447879118607
2461,DSL,2041,23.7000045137892
2462,DSL,2042,23.6627112977924
2463,DSL,2043,23.616707246162
2464,DSL,2044,23.5786128432124
2465,DSL,2045,23.5428901700078
2466,DSL,2046,23.5026822958439
2467,DSL,2047,23.4605747783841
2468,DSL,2048,23.4212015730479
2469,DSL,2049,23.3743188328556
2470,DSL,2050,23.3114308890053
2471,DSL,2051,23.2396143448999
2472,DSL,2052,23.1618631872324
2473,DSL,2053,23.0671968508986
2474,DSL,2054,22.9390584675744
2475,ELC,2022,1.56322048286825e-05
2476,ELC,2023,3.83445715343521e-05
2477,ELC,2024,6.34910722189262e-05
2478,ELC,2025,6.28266562707358e-05
2479,ELC,2026,6.26728163927972e-05
2480,ELC,2027,0.300563062854359
2481,ELC,2028,0.300562941996035
2482,ELC,2029,0.300562829480648
2483,ELC,2030,0.300562723674454
2484,ELC,2031,0.300562629807802
2485,ELC,2032,0.300562541597206
2486,ELC,2033,0.300562467646459
2487,ELC,2034,0.300562395099836
2488,ELC,2035,0.300562325313303
2489,ELC,2036,0.300562246094962
2490,ELC,2037,0.300562163560014
2491,ELC,2038,0.300562083790532
2492,ELC,2039,0.300562001992878
2493,ELC,2040,0.300561906419475
2494,ELC,2041,0.434155509261868
2495,ELC,2042,0.764326520731395
2496,ELC,2043,1.17981303388422
2497,ELC,2044,1.53947724222076
2498,ELC,2045,1.96456458067513
2499,ELC,2046,2.36523838717831
2500,ELC,2047,2.87456823483501
2501,ELC,2048,3.32291498936688
2502,ELC,2049,3.77303115927555
2503,ELC,2050,4.22790609261802
2504,ELC,2051,4.68329169770324
2505,ELC,2052,5.15019905429245
2506,ELC,2053,5.40361704801717
2507,ELC,2054,5.40361670485495
2541,GSL,2022,0.32599164458134
2542,GSL,2023,0.321121221275523
2543,GSL,2024,0.324642375731225
2544,GSL,2025,0.0143019494182728
2545,GSL,2026,0.320458472293047
2546,GSL,2027,0.319784723210542
2547,GSL,2028,0.304283308510482
2548,GSL,2029,0.0
2549,GSL,2030,0.0
2550,GSL,2031,0.0
2551,GSL,2032,0.0
2552,GSL,2033,0.0
2553,GSL,2034,0.0
2554,GSL,2035,0.0
2555,GSL,2036,0.0
2556,GSL,2037,0.315186453838122
2557,GSL,2038,0.314778576745273
2558,GSL,2039,0.314360329203824
2559,GSL,2040,0.313871643545523
2560,GSL,2041,0.313258404457924
2561,GSL,2042,0.312747731781523
2562,GSL,2043,0.312117777739121
2563,GSL,2044,0.311596134051652
2564,GSL,2045,0.311106967519725
2565,GSL,2046,0.310556383126215
2566,GSL,2047,0.309979786067928
2567,GSL,2048,0.309440631167766
2568,GSL,2049,0.308798644850119
2569,GSL,2050,0.307937492124591
2570,GSL,2051,0.306954076084759
2571,GSL,2052,0.3058893947287
2572,GSL,2053,0.304593086270219
2573,GSL,2054,0.302838430110573
2640,NGS,2022,2.49900261416801
2641,NGS,2023,2.30980134071578
2642,NGS,2024,2.33839533112184
2643,NGS,2025,2.31392469144176
2644,NGS,2026,2.30825872235761
2645,NGS,2027,2.30340571539779
2646,NGS,2028,2.29895446686033
2647,NGS,2029,2.29481049125446
2648,NGS,2030,2.29091361722357
2649,NGS,2031,1.36659927329398
2650,NGS,2032,2.28420765729461
2651,NGS,2033,2.28148402900039
2652,NGS,2034,2.27881211497807
2653,NGS,2035,2.27624185593257
2654,NGS,2036,2.27332422056927
2655,NGS,2037,2.27028443353343
2656,NGS,2038,2.26734649948388
2657,NGS,2039,2.26433386721129
2658,NGS,2040,2.10397769764519
2659,NGS,2041,2.25639671582969
2660,NGS,2042,2.25271834636379
2661,NGS,2043,2.24818079457852
2662,NGS,2044,2.24442340104498
2663,NGS,2045,2.24089994009253
2664,NGS,2046,2.23693408698332
2665,NGS,2047,2.23278086494631
2666,NGS,2048,2.22889733834738
2667,NGS,2049,2.2242731182207
2668,NGS,2050,2.21807024495679
2669,NGS,2051,2.21098671043387
2670,NGS,2052,2.20331782276468
2671,NGS,2053,2.19398052771754
2672,NGS,2054,2.46506307491543
